"","col1","col2"
"6827","Закупка завершена","Поставка легковых автомобилей для нужд Федерального бюджетного учреждения ""Территориальный фонд геологической информации по Сибирскому федеральному округу"""
"6828","Закупка завершена","автомобиль повышенной проходимости"
"6829","Закупка завершена","Поставка транспортного средства (ЭА-738)."
"6830","Закупка завершена","поставка полноприводного внедорожного легкового автомобиля"
"6831","Работа комиссии","№ 15 - ЭА 1 - 916: легковой автомобиль"
"6832","Работа комиссии","14-336э поставка грузовых автомобилей повышенной проходимости на базе КАМАЗ (или эквивалент) для нужд МЧС России"
"6833","Работа комиссии","поставка автомобиля седан Datsun on-DO ( или эквивалент) для нужд администрации муниципального образования - Высоковское сельское поселение Рязанского муниципального района Рязанской области"
"6834","Закупка завершена","Приобретение автомобиля LADA Granta 21901-41-010 или «эквивалент» для Совета Урупского муниципального района Карачаево-Черкесской республики"
"6835","Закупка завершена","Поставка транспорта общего пользования, оборудованного для перевозки инвалидов и других маломобильных групп населения в городе Ангарске (закупка у субъектов малого предпринимательства, социально ориентированных некоммерческих организаций)"
"6836","Работа комиссии","Поставка школьного автобуса в рамках реализации государственной программы Свердловской области ""Развитие системы образования до 2020 года"""
"6837","Закупка завершена","Поставка автомобилей Hyundai Solaris (комплектация Comfort) (или эквивалент) и Hyundai Solaris (комплектация Elegance) (или эквивалент)."
"6838","Закупка завершена","Поставка автомобиля Renault DUSTER, или эквивалент, для нужд Федерального государственного бюджетного учреждения «Безбородовское государственное опытное охотничье хозяйство»"
"6839","Закупка завершена","Поставка автомобиля для нужд МКУ Управление образования муниципального района Ермекеевский район Республики Башкортостан"
"6840","Закупка завершена","Поставка легкового автомобиля"
"6841","Закупка завершена","Приобретение автомобиля для нужд Администрации сельского поселения ""Щукинская волость"""
"6842","Закупка завершена","Поставка автомобиля легкового для УФСБ России по Хабаровскому краю"
"6843","Закупка завершена","поставка автомобиля УАЗ 390995 (или эквивалент) для нужд администрации Артемовского городского поселения"
"6844","Закупка завершена","Покупка автомобиля ГАЗель Next A21R23 или эквивалент для нужд МУП ОП ""Солнечногорск"""
"6845","Закупка завершена","закупка автотранспортного средства"
"6846","Закупка завершена","Приобретение и поставка легкового автомобиля NISSAN X-TRAIL ( или эквивалент) субъектами малого предпринимательства"
"6847","Закупка завершена","поставка грузопассажирского автомобиля"
"6848","Закупка завершена","поставка легкового автомобиля"
"6849","Работа комиссии","Поставка автомобиля для нужд Администрации сельского поселения Ябалаковский сельсовет муниципального района Илишевский район Республики Башкортостан."
"6850","Закупка завершена","Приобретение  автомобиля ГАЗ 33081 Егерь с двурядной кабиной или эквивалент"
"6851","Работа комиссии","Открытый аукцион в электронной форме на право заключения договора на поставку автотранспортных средств для нужд ФГБУ «РЭА» Минэнерго России"
"6852","Работа комиссии","Поставка автомобилей 2014 года выпуска в количестве 7 штук для награждения победителей краевого трудового соревнования в агропромышленном комплексе Алтайского края в 2014 году"
"6853","Закупка завершена","Поставка автомобиля для нужд КГБУЗ «ЦБ Локтевского района»"
"6854","Закупка завершена","Поставка легкового автомобиля для нужд Борисовского сельского поселения"
"6855","Закупка завершена","Приобретение автомобильной техники"
"6856","Закупка завершена","Поставка автомобиля (ОМСУ)"
"6857","Работа комиссии","Автомобиль легковой"
"6858","Закупка завершена","Приобретение микроавтобуса Toyota HIACE категории В 10-местный"
"6859","Работа комиссии","Поставка легкового автомобиля"
"6860","Закупка завершена","Поставка полноприводного легкового автомобиля высокой проходимости."
"6861","Закупка завершена","Поставка автомобиля для нужд Государственного бюджетного учреждения здравоохранения «Самарский областной клинический кардиологический диспансер» во 2 полугодии 2014г."
"6862","Закупка завершена","Легковой автомобиль"
"6863","Закупка завершена","Покупка легкового автомобиля"
"6864","Закупка завершена","Поставка легкового автомобиля"
"6865","Закупка завершена","Поставка легкового автомобиля"
"6866","Закупка завершена","Автомобиль"
"6867","Закупка завершена","Поставка автомобиля для АУП"
"6868","Закупка завершена","763ЭА-2-15. Поставка автобусов специальных для перевозки детей"
"6869","Закупка завершена","приобретение автомобиля"
"6870","Закупка завершена","Поставка легковых автомобилей для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Самарская городская поликлиника №4 Кировского района»"
"6871","Закупка завершена","Поставка легкового автомобиля"
"6872","Закупка завершена","Поставка автомобиля"
"6873","Закупка завершена","Поставка санитарного автомобиля"
"6874","Закупка завершена","Приобретение транспортного средства"
"6875","Закупка завершена","Поставка транспортного средства для нужд ГБУ ""КЦСОН"" Лихославльского района"
"6876","Закупка завершена","Средства автотранспортные для перевозки людей прочие"
"6877","Закупка завершена","Поставка автомобиля"
"6878","Закупка завершена","приобретение транспортных средств"
"6879","Закупка завершена","№14-06/2055-17 транспортные средства"
"6880","Закупка завершена","Поставка легкового автомобиля"
"6881","Закупка отменена","поставка автотранспортных средств LADA GRANTA 21901-41-028 или эквивалент и LADA 4x4 21310-40-023 или эквивалент"
"6882","Закупка завершена","Покупка автомобиля для нужд администрации городского округа Рефтинский"
"6883","Закупка завершена","поставка легкового автотранспорта для нужд КПРД Управляющая компания инвестиционными площадками Республики Дагестан  1804"
"6884","Работа комиссии","Поставка автомобиля"
"6885","Работа комиссии","На поставку микроавтобуса"
"6886","Закупка завершена","открытый аукцион на право заключения муниципального контракта на поставку автомобиля"
"6887","Работа комиссии","Приобретение транспортного средства"
"6888","Закупка завершена","Поставка автобуса малой вместимости для нужд Федерального бюджетного учреждения Центр реабилитации Фонда социального страхования Российской Федерации «Кристалл»"
"6889","Закупка завершена","Поставка автобуса для перевозки пассажиров (18 мест) по программе утилизации"
"6890","Закупка завершена","Поставка одного легкового автомобиля повышенной проходимости."
"6891","Закупка завершена","Поставка автомобиля для муниципальных нужд"
"6892","Закупка завершена","Поставка автомобиля"
"6893","Закупка завершена","Поставка автомобиля"
"6894","Закупка завершена","Приобретение легкового автомобиля"
"6895","Закупка завершена","на право заключения контракта на поставку легковых автомобилей"
"6896","Закупка завершена","Поставка автомобилей с адаптированными органами управления"
"6897","Работа комиссии","Поставка легкового автомобиля"
"6898","Закупка завершена","Приобретение 4-х легковых автомобилей"
"6899","Закупка завершена","Приобретение автомобиля для грузоперевозок для нужд муниципального казенного учреждения ""Пермское городское леснимчество"""
"6900","Закупка завершена","Санитарный автомобиль."
"6901","Закупка завершена","Поставка автомобиля для нужд муниципального казенного учреждения ""Административно-техническая инспекция города Кургана"""
"6902","Закупка завершена","Электронный аукцион по определению поставщика легкового автомобиля для нужд МБСУ социального обслуживания системы социальной защиты населения «Иловский дом – интернат для престарелых и инвалидов» Алексеевского района Белгородской области."
"6903","Закупка завершена","Поставка автомобиля для нужд Отдела образования Администрации Ржевского района Тверской области"
"6904","Работа комиссии","приобретение и поставка автомашины УАЗ-220695-04 или эквивалент для нужд МО «Абагинский наслег»"
"6905","Закупка завершена","Поставка автомобилей для Муниципального казенного учреждения «Центр административно-хозяйственного обеспечения» г. Сосновый Бор Ленинградской области"
"6906","Закупка завершена","Поставка автомобилей легковых согласно техническому заданию"
"6907","Работа комиссии","Автомобиль"
"6908","Закупка завершена","Поставка грузопассажирского автомобиля"
"6909","Закупка завершена","Поставка автомобилей (минивэн)"
"6910","Закупка завершена","Автомобиль"
"6911","Закупка завершена","Поставка легковых транспортных средств для нужд учреждений, подведомственных Департаменту социальной защиты населения города Москвы"
"6912","Закупка завершена","Поставка автомобиля Lada Priora или эквивалент по техническим характеристикам для нужд Администрации сельского поселения Аптраковский сельсовет муниципального района Мелеузовский район Республики Башкортостан"
"6913","Закупка завершена","Поставка легкового автомобиля для нужд администрации Кизильского муниципального района."
"6914","Закупка завершена","поставка легкового автомобиля"
"6915","Закупка завершена","Приобретение и поставка автомобиля для подготовки и проведения Всероссийской сельскохозяйственной переписи 2016 г."
"6916","Закупка завершена","Приобретение автомобиля для междугородних перевозок (реестровый номер закупки 827Э-20/15сб)"
"6917","Закупка завершена","Приобретение транспортных средств для подвоза обучающихся сельских школ в 2016 году"
"6918","Закупка завершена","Поставка движимого имущества – автомобиля для нужд ГУ ТФОМС Республики Коми. (ЭА-1063)"
"6919","Закупка завершена","поставка автомобилей"
"6920","Закупка завершена","Поставка легковых автомобилей для нужд."
"6921","Закупка завершена","Поставка автомобиля"
"6922","Закупка завершена","приобретение автотранспортного средства"
"6923","Закупка завершена","Поставка легкового автомобиля для администрации Борисовского района Белгородской области"
"6924","Закупка завершена","Приобретение и поставка автомобиля-фургона в количестве 2-х единиц для нужд Оленинского район"
"6925","Закупка завершена","АЭ-2929/15 на поставку автомобилей"
"6926","Закупка завершена","Поставка легкового автомобиля"
"6927","Закупка завершена","Закупка автомобилей Renault Duster (комплектация Privilege 1,6 4x4 МКП6) или эквивалентов (согласно техническому заданию)"
"6928","Закупка завершена","Поставка автотранспортного средства повышенной проходимости (микроавтобус)"
"6929","Работа комиссии","поставка легкового автомобиля"
"6930","Работа комиссии","Поставкка легкового автомобиля"
"6931","Закупка завершена","Поставка легкового автомобиля"
"6932","Закупка завершена","Поставка автомобилей грузопассажирских"
"6933","Закупка завершена","Поставка автомобиля"
"6934","Закупка завершена","Приобретение нового автобуса ПАЗ 32053-70 школьный (или эквивалент)"
"6935","Закупка завершена","Поставка автомобиля по программе АРКТИКА"
"6936","Закупка завершена","Приобретение и поставка легкового автомобиля для нужд Администрации муниципального района Кугарчинский район Республики Башкортостан"
"6937","Закупка завершена","Поставка автомобиля"
"6938","Закупка завершена","поставка автомобиля для нужд Казенного учреждения Вытегорского муниципального района «Административно-хозяйственная служба»"
"6939","Закупка завершена","Поставка легкового автомобиля для нужд администрации Вышневолоцкого района."
"6940","Закупка завершена","Поставка легкового автомобиля"
"6941","Закупка завершена","Поставка автомобиля"
"6942","Закупка завершена","Поставка в государственную собственность Республики Коми движимого имущества – автотранспорта (ЭА-1127)"
"6943","Закупка отменена","Поставка пассажирских автобусов в количестве 4 (четырех) единиц для нужд Сахалинской области"
"6944","Закупка завершена","поставка автобуса для внутригородских и пригородных перевозок"
"6945","Закупка завершена","Поставка легковых автомобилей, оборудованных средствами управления для застрахованных лиц, получивших повреждение здоровья вследствие несчастных случаев на производстве и профессиональных заболеваний."
"6946","Закупка завершена","Поставка пассажирского автобуса для нужд Мариинского театра"
"6947","Закупка завершена","поставка седельного тягача"
"6948","Закупка завершена","Поставка транспортного средства для филиала ""Ломоносовский"""
"6949","Закупка завершена","Поставка легкового автомобиля для нужд Финансово-казначейского управления администрации муниципального образования – Шацкий муниципальный район Рязанской области"
"6950","Закупка завершена","Поставка школьного автобуса для перевозки учащихся для нужд МОУ «Ярополецкая средняя общеобразовательная школа» Волоколамского муниципального района"
"6951","Закупка завершена","Поставка школьного автобуса"
"6952","Закупка завершена","Поставка легкового автомобиля"
"6953","Работа комиссии","Приобретение легкового автомобиля"
"6954","Закупка завершена","Поставка пассажирского микроавтобуса для нужд Пестяковского муниципального района."
"6955","Закупка завершена","поставка автомобиля для ГБУ АО Архангельская горСББЖ"
"6956","Закупка завершена","Поставка легкового автомобиля для нужд МКУ отдел культуры МР Учалинский район РБ"
"6957","Закупка завершена","приобретение легкового автомобиля по программе ""Утилизация"""
"6958","Работа комиссии","По выбору поставщика школьного автобуса для нужд Муниципального общеобразовательного учреждения «Тондошенская основная общеобразовательная школа»"
"6959","Закупка завершена","Поставка легкового автомобиля"
"6960","Закупка завершена","Автомобиль грузовой с бортовой платформой и двухрядной кабиной"
"6961","Закупка завершена","на поставку  легкового автомобиля для Муниципального бюджетного учреждения  «Центр эксплуатационного обслуживания и обеспечения деятельности органов местного самоуправления города Сарова» в 2016 году."
"6962","Закупка завершена","Приобретение автобуса для междугородних маршрутов"
"6963","Закупка завершена","Поставка легкового автомобиля Тойота камри или эквивалент."
"6964","Работа комиссии","Поставка автомобиля LADA 212140-40-028 (или эквивалент)"
"6965","Закупка завершена","Приобретение автомобилей Рено Дастер (или эквивалент) для нужд ФКУ УОДОП ФСИН России"
"6966","Закупка завершена","Поставка автомобилей"
"6967","Закупка завершена","на поставку легкового автомобиля Шевроле Нива (или эквивалент) в г. Белоярский для муниципальных нужд"
"6968","Закупка завершена","Поставка автомобилей-тягачей"
"6969","Закупка завершена","Поставка легкового автомобиля-внедорожника 4х4 для нужд муниципального заказчика Муниципальное казенное учреждение ""Управление районного хозяйства"""
"6970","Работа комиссии","Поставка легкового автомобиля для нужд КГБС(К)ОУ «Рубцовская специальная (коррекционная) общеобразовательная школа-интернат №1 VIII вида»"
"6971","Закупка завершена","Поставка грузового автомобиля"
"6972","Закупка завершена","Приобретение  самосвала с боковой разгрузкой для работы на блоке биологической доочистки сточных вод на канализационных очистных сооружениях г. Гусева Калининградской области"
"6973","Закупка завершена","1077ЭА-2-16. Поставка грузового автомобиля с бортовой платформой"
"6974","Работа комиссии","Поставка автомобилей скорой медицинской помощи класса А, оснащенных медицинским оборудованием для нужд МБУЗ ""ССМП"""
"6975","Закупка завершена","поставка автомобилей для нужд МКУ ""Административно - хозяйственная служба"" по программе ""Утилизация автомобилей"" в соответствии с Описанием объекта закупки - техническим заданием (приложение №1 к документации об электронном аукционе)"
"6976","Закупка завершена","Легковой автомобиль"
"6977","Закупка завершена","Поставка легкового автомобиля,согласно спецификации"
"6978","Закупка завершена","Поставка легкового автомобиля повышенной проходимости"
"6979","Закупка завершена","приобретение легкового автомобиля для МКУ ""По обеспечению деятельности Администрации Глушковского района Курской области"""
"6980","Закупка завершена","на поставку легкового автомобиля"
"6981","Закупка завершена","Поставка автомобиля легкового для нужд государственного бюджетного учреждения здравоохранения Тверской области ""Городская клиническая больница №7"""
"6982","Закупка завершена","Поставка автомобиля"
"6983","Закупка завершена","Поставка автомобиля для нужд ФГБНУ ГОСХОС"
"6984","Закупка завершена","Поставка легкового автомобиля повышенной проходимости для нужд МКУ ""УБТС"""
"6985","Закупка завершена","Поставка легкового автомобиля LADA Kalina универсал (или эквивалент) для нужд администрации Мезинецкого сельсовета Староюрьевского района Тамбовской области"
"6986","Закупка отменена","Поставка микроавтобуса Volkswagen Caravelle или эквивалента для ИАПУ ДВО РАН"
"6987","Закупка завершена","Поставка автомобиля ВАЗ-2121 НИВА (или эквивалент)"
"6988","Работа комиссии","Поставка автомобилей"
"6989","Закупка завершена","Поставка микроавтобуса для нужд Муниципального казенного учреждения социального обслуживания «Социальный приют для детей и подростков» Миасского городского округа"
"6990","Работа комиссии","Поставка легкового автомобиля для нужд администрации Птичнинского сельского поселения Биробиджанского района Еврейской автономной области"
"6991","Закупка завершена","Поставка легкового автомобиля"
"6992","Работа комиссии","Поставка легкового автомобиля"
"6993","Закупка завершена","Поставка автомобиля УАЗ - 390945 ""Фермер"" (или эквивалент)"
"6994","Закупка завершена","Поставка легковых автомобилей для ГБУ «Курганский центр социальной помощи семье и детям», ГБУ «Комплексный центр социального обслуживания населения по Альменевскому району», ГБУ «Комплексный центр социального обслуживания населения по Далматовскому району», ГБУ «Комплексный центр социального обслуживания населения по Катайскому району», ГБУ «Комплексный центр социального обслуживания населения по Куртамышскому району», ГБУ «Комплексный центр социального обслуживания населения по Белозерскому району», ГБУ «Комплексный центр социального обслуживания населения по Притобольному району», ГБУ «Комплексный центр социального обслуживания населения по Щучанскому району»."
"6995","Работа комиссии","Аукцион в электронной форме на поставку легкового автомобиля."
"6996","Закупка завершена","поставка автомобиля УАЗ 3163-105 ПАТРИОТ ""КЛАССИК""  или эквивалент для нужд ФГБУ «Висимский государственный природный биосферный заповедник»  "
"6997","Закупка завершена","поставка автотранспортного средства"
"6998","Работа комиссии","Поставка легкового автомобиля для нужд МКУ МФЦ в городе Иванове"
"6999","Закупка завершена","Поставка легкового автомобиля"
"7000","Закупка завершена","Поставка полноприводного автомобиля грузовой фургон"
"7001","Закупка завершена","Автомобили легковые"
"7002","Работа комиссии","Закупка полноприводных легковых автомобилей, микроавтобусов и фургона российского производства"
"7003","Закупка завершена","Поставка легкового автомобиля для нужд ГБУЗ ""Ржевская ЦРБ"""
"7004","Закупка завершена","поставка автомобиля"
"7005","Закупка завершена","Поставка автомобиля для нужд ГКУ ТО «Государственная инспекция по охране объектов животного мира и окружающей среды Тверской области»"
"7006","Закупка завершена","Приобретение легкового автомобиля"
"7007","Закупка завершена","Поставка легкового автомобиля для нужд ФГУП «СВЯЗЬ-безопасность» г. Чебоксары"
"7008","Закупка завершена","Поставка грузового автомобиля для Тайшетского городского поселения"
"7009","Работа комиссии","На поставку автобуса для перевозки детей"
"7010","Закупка завершена","поставка автомобиля"
"7011","Закупка завершена","На приобретение автомобиля ГАЗ 322121 «Газель» (или эквивалент) для нужд Муниципального бюджетного общеобразовательного учреждения «Чилинская средняя общеобразовательная школа»"
"7012","Закупка завершена","Поставка грузового автомобиля цельнометаллический фургон"
"7013","Работа комиссии","Аукцион в электронной форме среди субъектов малого предпринимательства, социально ориентированных некоммерческих организаций на право заключить контракт на закупку автомобиля"
"7014","Закупка завершена","Поставка легковых автомобилей для нужд Государственного казённого учреждения Тверской области ""Автобаза Тверской области"" (12214)"
"7015","Закупка завершена","приобретение легкового автомобиля"
"7016","Закупка завершена","Поставка автомобиля (ЭА-768)"
"7017","Закупка завершена","приобретение школьного автобуса"
"7018","Закупка завершена","Закупка грузопассажирского автомобиля цельнометаллического (4х4) до 3,5 тн."
"7019","Закупка завершена","Поставка легкового автомобиля NISSAN - ALMERA 1.6 COMFORT PLUS MT (или эквивалент)"
"7020","Работа комиссии","Поставка легкового автомобиля для нужд Государственное бюджетное учреждение Спорткомплекс «Олимпийск»"
"7021","Закупка завершена","Поставка автофургона грузопассажирского для нужд МКУ «Дорожник» ЗАТО г.Радужный Владимирской области"
"7022","Закупка завершена","17-54670Э поставка легкового автомобиля"
"7023","Закупка завершена","Средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров более 1500 см3, новые"
"7024","Закупка завершена","Поставка школьного автобуса"
"7025","Закупка завершена","Поставка автомобилей год выпуска 2015- 2016 г ., без пробега. Двигатель с мощностью не менее 140 и не более 150 л.с"
"7026","Закупка завершена","Поставка автомобиля"
"7027","Работа комиссии","Легковой автомобиль"
"7028","Закупка завершена","Покупка легкового автомобиля для нужд Администрации муниципального района Бураевский район Республики Башкортостан"
"7029","Закупка завершена","поставка автомобиля (8076-ЭА)"
"7030","Работа комиссии","Поставка автомобилей в количестве 2 единиц"
"7031","Закупка завершена","Поставка транспортных средств в целях обеспечения деятельности специального учреждения временного содержания иностранных граждан УФМС России по Санкт-Петербургу и Ленинградской области"
"7032","Работа комиссии","2052-2/2015 сб. Поставка легкового автомобиля"
"7033","Закупка завершена","Поставка легкового автомобиля Nissan Almera (или эквивалент)"
"7034","Закупка завершена","Поставка грузового бортового автомобиля для нужд ГТС  ДВО  РАН (для экспедиционных целей)"
"7035","Работа комиссии","аукцион в электронной форме на право заключить контракт на поставку легкового автомобиля"
"7036","Работа комиссии","Приобретение и поставка автомобиля ГАЗ-322173-249 или эквивалент "
"7037","Закупка завершена","Приобретение легкового автомобиля"
"7038","Закупка завершена","Поставка (приобретение) автотранспорта для нужд ГКУ ""Итум-Калинское лесничество"""
"7039","Закупка завершена","на право заключения контракта на поставку автобуса для федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Югорский государственный университет»."
"7040","Закупка завершена","поставка плавающего вездехода"
"7041","Закупка завершена","Приобретение и доставка легкового автомобиля для нужд администрации Русско-Журавского сельского поселения Верхнемамонского муниципального района Воронежской области"
"7042","Закупка завершена","Поставка автомобиля УАЗ 330365-440 БОРТОВОЙ ПОВЫШЕННОЙ ПРОХОДИМОСТИ или эквивалент"
"7043","Закупка завершена","легковой автомобиль"
"7044","Закупка завершена","Автомобиль"
"7045","Закупка завершена","Автомобиль"
"7046","Закупка завершена","На закупку специального автобуса для перевозки детей МОУ «Ратчинская СОШ»"
"7047","Работа комиссии","На поставку легкового автомобиля (универсал 7 мест) для нужд ГБУ ""Курчалоевская ЦРБ"""
"7048","Закупка завершена","Поставка автомобиля для нужд ГБУЗ ""Бологовская ЦРБ"""
"7049","Закупка завершена","Поставка специализированного автомобиля для перевозки инвалидов-колясочников"
"7050","Работа комиссии","Поставка детского передвижного мобильного центра здоровья"
"7051","Закупка завершена","на право заключения контракта на поставку автобуса для федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Югорский государственный университет»."
"7052","Закупка завершена","Поставка автомобиля для нужд ФКУ ""Южный АПСЦ"""
"7053","Закупка завершена","Поставка легкового автомобиля RENAULT LOGAN или эквивалент для нужд Комитета социальной защиты населения Беловского городского округа."
"7054","Закупка завершена","Закупка и поставка легкового автомобиля"
"7055","Закупка завершена","Право заключения контракта на техническое обслуживание и ремонт легковых автомобилей (СМП и СОНО)"
"7056","Закупка завершена","Поставка автомобиля"
"7057","Закупка завершена","Поставка автомобиля"
"7058","Закупка завершена","Поставка легкового автомобиля."
"7059","Закупка завершена","Легковой автомобиль"
"7060","Закупка завершена","закупка автомобиля для экспедиционных целей"
"7061","Закупка завершена","Поставка легковых автомобилей для центрального аппарата и территориальных органов ФНС России"
"7062","Работа комиссии","Поставка легковых автомобилей"
"7063","Закупка завершена","Легковой автомобиль"
"7064","Закупка завершена","Поставка легкового автомобиля"
"7065","Закупка завершена","Поставка легкового автомобиля для нужд МО ""Благовещенское"""
"7066","Работа комиссии","Поставка легкового автомобиля"
"7067","Закупка завершена","Поставка школьного автобуса"
"7068","Закупка завершена","Поставка легкового автомобиля Рено Логан (Renault LOGAN) или эквивалент"
"7069","Закупка завершена","Легковой автомобиль"
"7070","Закупка завершена","Поставка легкового автомобиля для нужд Железногорского городского суда Красноярского края"
"7071","Закупка завершена","поставка легкового автомобиля для муниципального казенного учреждения Моршанского района Тамбовской области Служба организационно-технического обеспечения деятельности администрации района"
