Index_1,коробка_передач,марка,модель,привод,ширина,объем_двигателя_куб_см,длина,максимальная_скорость,масса_авто_снаряженная,год_выпуска,мощность_л_с,потребление_топлива_городской_цикл_л_100км,,1_коробка_передач_1,2_коробка_передач_2,1_привод_1,2_привод_2,1_ширина_1,2_ширина_2,1_объем_1,2_объем_2,1_длина_1,2_длина_2,1_скорость_1,2_скорость_2,1_масса_1,2_масса_2,1_выпуска_1,2_выпуска_2,1_мощность_1,2_мощность_2,1_топлива_1,2_топлива_2
2055,механическая,,,,1662,1596,4260,,,,,,,*************************,*************************,*************************,*************************,"**************************************************Тип двигателя – бензиновый
Тип кузова – седан 
Количество дверей – 4 боковые (по ГОСТ Р 52051-2003)
Габаритные размеры: длина (см) – не менее 4260 и не более 4680, ширина (см) – не менее 1662 и не более 1720, высота (см) – не менее 1393 и не более 1515
",**************************************************1 шт.,*************************,*************************,"**************************************************Тип двигателя – бензиновый
Тип кузова – седан 
Количество дверей – 4 боковые (по ГОСТ Р 52051-2003)
Габаритные размеры: длина (см) – не менее 4260 и не более 4680, ширина (см) – не менее 1662 и не более 1720, высота (см) – не менее 1393 и не более 1515
",**************************************************1 шт.,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2058,,,,,1680,,4140,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2060,механическая,,,,1850,1598,,137,,2017,,,,*************************,*************************,"**************************************************В случае уменьшения казенному учреждению как получателю бюджетных средств главным распорядителем (распорядителем) бюджетных средств ранее доведенных лимитов бюджетных обязательств, приводящего к невозможности исполнения казенным учреждением бюджетных обязательств, вытекающих из заключенных им государственных контрактов, иных договоров, казенное учреждение должно обеспечить согласование в соответствии с законодательством Российской Федерации о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд новых условий государственных контрактов, в том числе по цене и (или) срокам их исполнения и (или) количеству (объему) товара (работы, услуги), иных договоров. Сторона государственного контракта, иного договора вправе потребовать от казенного учреждения возмещения только фактически понесенного ущерба, непосредственно обусловленного изменением условий государственного контракта, иного договора (пункт 6 статьи 161 Бюджетного кодекса Российской Федерации).","**************************************************В случае уменьшения казенному учреждению как получателю бюджетных средств главным распорядителем (распорядителем) бюджетных средств ранее доведенных лимитов бюджетных обязательств, приводящего к невозможности исполнения казенным учреждением бюджетных обязательств, вытекающих из заключенных им государственных контрактов, иных договоров, казенное учреждение должно обеспечить согласование в соответствии с законодательством Российской Федерации о контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд новых условий государственных контрактов, в том числе по цене и (или) срокам их исполнения и (или) количеству (объему) товара (работы, услуги), иных договоров. Сторона государственного контракта, иного договора вправе потребовать от казенного учреждения возмещения только фактически понесенного ущерба, непосредственно обусловленного изменением условий государственного контракта, иного договора (пункт 6 статьи 161 Бюджетного кодекса Российской Федерации).",*************************,*************************,"**************************************************Снижение цены контракта без изменения предусмотренных контрактом количества товаров, объема работы или услуги, качества поставляемого товара, выполняемой работы оказываемой услуги и иных условий контракта",**************************************************Допускается,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2061,механическая,,,,1750,,4300,,,,,,,*************************,*************************,*************************,*************************,"**************************************************Ширина автомобиля без учета внешних зеркал заднего вида, мм",**************************************************не менее 1750 и не более 1850,"**************************************************29.10.22.000
средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров более 1500 см3, новые*************************nan","**************************************************29.10.22.000
средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров более 1500 см3, новые*************************nan*************************nan","**************************************************Максимальная длина автомобиля, мм",**************************************************не менее 4300 и не более 4350,*************************,*************************,"**************************************************Разрешенная максимальная масса автомобиля, кг*************************Разреш. мах. масса, kg",**************************************************не более 1800*************************,**************************************************Год выпуска*************************Год выпуска,**************************************************не ранее 2017*************************,"**************************************************Максимальная мощность двигателя, л.с.",**************************************************не более 130,**************************************************Марка топлива,**************************************************не ниже АИ-95
2064,,,,,1750,1596,4470,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan*************************nan,**************************************************nan*************************nan*************************nan
2065,,,,,,,,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Наименование и описание объекта закупки и условий контракта.


Объем, место и сроки завершения выполнения работ (оказания услуг)/количество, место и сроки доставки товара
","**************************************************Электронный аукцион на право заключения контракта на поставку легкового автомобиля бизнес-класса российской сборки для выполнения производственных задач ГУП МО «МОБТИ»

Описание объекта, объем, место и сроки  - в соответствии с Техническим заданием.",*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2067,механическая,,,,,1670,,140,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan
2078,5МКПП,,,,1680,1598,4220,,,,,,,"**************************************************Основные технические характеристики:

Тип кузова – универсал;
Количество дверей - не менее 4;
Габариты кузова:
Длина - не менее 4220мм;
Ширина - не менее 1680мм;
Высота - не менее 1625мм;
Клиренс - не менее ;
Шины - не менее R16
Рабочий объём двигателя - не менее 1598 см3;
Максимальная мощность – не менее .с.;
Тип двигателя – бензиновый;
колесная формула (трансмиссия) – 4х4;

Коробка передач – механическая;
Число передач – не менее 5;
Год выпуска - не ранее 2016 года;

Состав комплектации (основное оборудование):
Дневные ходовые огни;
Антиблокировочная система тормозов;
усилитель рулевого управления;
Электростеклоподъемники передних дверей;
Аудиоподготовка;
Полноразмерное запасное колесо;
",**************************************************шт,*************************,*************************,"**************************************************Основные технические характеристики:

Тип кузова – универсал;
Количество дверей - не менее 4;
Габариты кузова:
Длина - не менее 4220мм;
Ширина - не менее 1680мм;
Высота - не менее 1625мм;
Клиренс - не менее ;
Шины - не менее R16
Рабочий объём двигателя - не менее 1598 см3;
Максимальная мощность – не менее .с.;
Тип двигателя – бензиновый;
колесная формула (трансмиссия) – 4х4;

Коробка передач – механическая;
Число передач – не менее 5;
Год выпуска - не ранее 2016 года;

Состав комплектации (основное оборудование):
Дневные ходовые огни;
Антиблокировочная система тормозов;
усилитель рулевого управления;
Электростеклоподъемники передних дверей;
Аудиоподготовка;
Полноразмерное запасное колесо;
",**************************************************шт,*************************,*************************,"**************************************************Основные технические характеристики:

Тип кузова – универсал;
Количество дверей - не менее 4;
Габариты кузова:
Длина - не менее 4220мм;
Ширина - не менее 1680мм;
Высота - не менее 1625мм;
Клиренс - не менее ;
Шины - не менее R16
Рабочий объём двигателя - не менее 1598 см3;
Максимальная мощность – не менее .с.;
Тип двигателя – бензиновый;
колесная формула (трансмиссия) – 4х4;

Коробка передач – механическая;
Число передач – не менее 5;
Год выпуска - не ранее 2016 года;

Состав комплектации (основное оборудование):
Дневные ходовые огни;
Антиблокировочная система тормозов;
усилитель рулевого управления;
Электростеклоподъемники передних дверей;
Аудиоподготовка;
Полноразмерное запасное колесо;
",**************************************************шт,*************************,*************************,*************************,*************************,"**************************************************Основные технические характеристики:

Тип кузова – универсал;
Количество дверей - не менее 4;
Габариты кузова:
Длина - не менее 4220мм;
Ширина - не менее 1680мм;
Высота - не менее 1625мм;
Клиренс - не менее ;
Шины - не менее R16
Рабочий объём двигателя - не менее 1598 см3;
Максимальная мощность – не менее .с.;
Тип двигателя – бензиновый;
колесная формула (трансмиссия) – 4х4;

Коробка передач – механическая;
Число передач – не менее 5;
Год выпуска - не ранее 2016 года;

Состав комплектации (основное оборудование):
Дневные ходовые огни;
Антиблокировочная система тормозов;
усилитель рулевого управления;
Электростеклоподъемники передних дверей;
Аудиоподготовка;
Полноразмерное запасное колесо;
",**************************************************шт,"**************************************************Основные технические характеристики:

Тип кузова – универсал;
Количество дверей - не менее 4;
Габариты кузова:
Длина - не менее 4220мм;
Ширина - не менее 1680мм;
Высота - не менее 1625мм;
Клиренс - не менее ;
Шины - не менее R16
Рабочий объём двигателя - не менее 1598 см3;
Максимальная мощность – не менее .с.;
Тип двигателя – бензиновый;
колесная формула (трансмиссия) – 4х4;

Коробка передач – механическая;
Число передач – не менее 5;
Год выпуска - не ранее 2016 года;

Состав комплектации (основное оборудование):
Дневные ходовые огни;
Антиблокировочная система тормозов;
усилитель рулевого управления;
Электростеклоподъемники передних дверей;
Аудиоподготовка;
Полноразмерное запасное колесо;
",**************************************************шт,*************************,*************************
2080,механическая,,,полный,1830,1560,4310,166,,,,,,*************************,*************************,**************************************************Тип привода,**************************************************4WD,"**************************************************Габаритная ширина, мм",**************************************************Не менее 1820 не более 1830*,"**************************************************Объем двигателя, л.","**************************************************Не менее 1,6","**************************************************Габаритная длина, мм",**************************************************Не менее 4310 не более 4320*,"**************************************************Максимальная скорость, км/ч",**************************************************Не менее 166,"**************************************************Допустимая полная масса, кг",**************************************************Не менее 1800 ,*************************,*************************,"**************************************************Мощность двигателя, л.с.",**************************************************Не менее 114,*************************,*************************
2082,автоматическая,,,переднеприводная,,1600,,,,,,,,*************************,*************************,**************************************************переднеприводная*************************переднеприводная,**************************************************наличие*************************наличие,*************************,*************************,"**************************************************Двигатель внутреннего сгорания (рабочий объем), см 3  *************************Двигатель внутреннего сгорания (рабочий объем), см 3  ",**************************************************не более 1600*************************не более 1600,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2083,автоматическая,,,,,,,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2090,раздаточная,,,задних колес,1800,1690,2450,,1485,2017,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2094,механическая,,,,,,,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2101,механическая,,,передний,1750,1598,4470,165,,,,,,**************************************************Коробка переключения передач,**************************************************механическая,**************************************************Тип привода,**************************************************передний ,"**************************************************Размеры: 
- длина
- ширина
- высота","**************************************************
не менее 4470 мм
не менее 1750 мм и не более 1756  мм
не менее 1670 мм и не более 1682 мм",**************************************************nan*************************Объем багажного отделения в пассажирском/грузовом вариантах,**************************************************nan*************************nan*************************не менее 560/2350 л.,"**************************************************Размеры: 
- длина
- ширина
- высота","**************************************************
не менее 4470 мм
не менее 1750 мм и не более 1756  мм
не менее 1670 мм и не более 1682 мм",**************************************************Максимальная скорость,**************************************************не менее 165 км/ч ,*************************,*************************,*************************,*************************,**************************************************Максимальная мощность,**************************************************не менее 102 л/с,"**************************************************Тип двигателя (вид топлива, количество  цилиндров, количество клапанов)","**************************************************бензиновый 
4 цилиндровый
не менее 16 клапанов"
2103,механическая,,,,1750,,,158,,,,,,**************************************************Коробка передач*************************Коробка передач,**************************************************Механическая*************************Механическая,*************************,*************************,"**************************************************Длина/ширина/высота, мм (не менее)*************************Длина/ширина/высота, мм (не менее)",**************************************************4470/1750/1670*************************4470/1750/1670,"**************************************************nan*************************Требования к сроку и (или) объему предоставления гарантий качества товаров, работ, услуг*************************Объем багажного отделения, дм3 (не менее)*************************Объем багажного отделения, дм3 (не менее)",**************************************************nan*************************nan*************************В соответствии с частью IV. Проект муниципального Контракта.*************************135/2350*************************135/2350,"**************************************************Длина/ширина/высота, мм (не менее)*************************Длина/ширина/высота, мм (не менее)",**************************************************4470/1750/1670*************************4470/1750/1670,"**************************************************Максимальная скорость, км/ч не менее*************************Максимальная скорость, км/ч не менее",**************************************************158*************************158,**************************************************Снаряженная масса. кг (не менее)*************************Снаряженная масса. кг (не менее),**************************************************1330 - 1370*************************1330 - 1370,*************************,*************************,"**************************************************Максимальная мощность л.с./кВт/об. мин 
не менее*************************Максимальная мощность л.с./кВт/об. мин (не менее)",**************************************************87/64/5100*************************87/64/5100,**************************************************nan*************************nan*************************Впрыск топлива с электронным управлением,**************************************************nan*************************nan*************************nan*************************
2106,,,,полный,1690,1690,4056,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,"**************************************************Требования к гарантийному сроку товара, работы, услуги и (или) объему предоставления гарантий их качества, к гарантийному обслуживанию товара, к расходам на эксплуатацию товара, к обязательности осуществления монтажа и наладки товара, к обучению лиц, осуществляющих использование и обслуживание товара","**************************************************Гарантийный срок, установлен согласно требований Технического задания (Приложение № 1 к настоящему контракту).
Гарантийный срок на все составляющие дополнительной комплектации Товара должен составлять не менее 36 месяцев, или 100 000 км, со следующего дня после подписания акта приема-передачи Товара обеими сторонами. Гарантийные обязательства на Товар распространяются на недостатки, связанные с качеством сборки и (или) материалов, возникшие при производстве автомобиля или его эксплуатации. Гарантия должна распространяться  на все элементы (комплектующие), а также на отсутствие сквозной коррозии и лакокрасочное покрытие кузова Товара. Если в течение гарантийного срока обнаружатся недостатки Товара, то они подлежат устранению силами и средствами Поставщика, включая транспортировку и замену товара.
",*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan
2108,,,,задний,1900,,4750,,,,,,,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************
2115,механическая кпп,,,,,1690,,140,,,,,,*************************,*************************,**************************************************nan,**************************************************nan*************************nan,*************************,*************************,"**************************************************Требования к гарантийному сроку товара и (или) объему предоставления гарантий их качества, к гарантийному обслуживанию товара, к расходам на эксплуатацию товара, к обязательности осуществления монтажа и наладки товара, к обучению лиц, осуществляющих использование и обслуживание товара","**************************************************Гарантийный срок на поставляемый товар должен подтверждаться гарантией производителя, составляющей не менее 24 месяцев или не менее 35 000 км пробега (в зависимости, что наступит ранее), и гарантией поставщика, соответствующей по сроку гарантии производителя, либо его превышающей.

",*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,*************************,**************************************************nan,**************************************************nan*************************nan
2116,,,,переднеприводная,,,,200,,,,,,*************************,*************************,**************************************************Трансмиссия  (привод на ведущиеколёса),**************************************************4х4,*************************,*************************,"**************************************************Объем багажника, л (без откидывания задних сидений / с откинутыми задними сиденьями)","**************************************************Не менее
 300 / 650",*************************,*************************,*************************,*************************,**************************************************Масса допустимая масса загрузки (кг),**************************************************Не более 450,*************************,*************************,"**************************************************Мощность двигателя, л.с.","************************************************** Не менее 80, не более 100","**************************************************Расход топлива, согласно технических характеристик завода изготовителя:",**************************************************
2122,5МКПП,,,"постоянный задний, с жестко подключаемым передним",,,,,,,,,,**************************************************Коробка передач,"**************************************************механическая, 5-ступенчатая",**************************************************Привод,,"**************************************************постоянный задний, с жестко подключаемым передним","**************************************************Ширина с зеркалами/без, мм",**************************************************,"**************************************************Рабочий объем, л.*************************nan","**************************************************Рабочий объем, л.*************************nan*************************nan","**************************************************Длина, мм",**************************************************,"**************************************************Максимальная скорость, км/ч",**************************************************,"**************************************************Масса снаряженного а/м, кг",**************************************************,*************************,*************************,"**************************************************Максимальная мощность, л.с. (кВт) при 4250 об/мин",**************************************************,"**************************************************Расход топлива при 90 км/ч, л/100 км"
