,0,1,2
208,,*************************,*************************
209,передний,*************************,*************************
210,постоянный задний жестко подключаемым передним,**************************************************nan*************************Привод*************************Привод,"**************************************************nan*************************nan*************************постоянный задний, с жестко подключаемым передним*************************постоянный задний, с жестко подключаемым передним"
211,передний,**************************************************Привод,**************************************************Передний
212,,**************************************************Тип привода,**************************************************2WD
213,,*************************,*************************
214,,*************************,*************************
215,,**************************************************Тип привода,**************************************************4 WD
216,,**************************************************nan,**************************************************nan*************************nan
217,передний,**************************************************Тип привода,**************************************************передний
218,,**************************************************Электропривод и электрообогрев наружных зеркал,**************************************************есть
219,,**************************************************nan,**************************************************nan*************************nan
220,,*************************,*************************
221,передний,*************************,*************************
222,передний,**************************************************nan*************************Передний привод*************************Передний привод,**************************************************nan*************************nan**************************************************
223,,*************************,*************************
224,полный,*************************,*************************
225,передний,**************************************************Привод*************************Привод,**************************************************передний*************************
226,постоянный задний жестко подключаемым передним,**************************************************nan*************************Привод*************************Привод,"**************************************************nan*************************nan*************************постоянный задний, с жестко подключаемым передним*************************постоянный задний, с жестко подключаемым передним"
227,передний,"**************************************************Передние стеклоподъёмники с электроприводом
",**************************************************Наличие
228,,*************************,*************************
229,,*************************,*************************
230,,"**************************************************Двигатель, трансмиссия не менее 1.7 л 8 кл. (83 л.с.), не менее 5МТ Кузов Колесная формула / ведущие колеса не менее  4 x 4 / все Расположение двигателя переднее продольное Тип кузова / количество дверей универсал / не менее 3 Количество мест не менее 4 Длина / ширина / высота, мм не менее 3740 / 1680 / 1640 База, мм не менее 2200 Колея передних / задних колес, мм не менее 1440 / 1420 Дорожный просвет, мм не менее 205 Объем багажного отделения в пассажирском / грузовом вариантах, л не менее 265 / 585 Двигатель Код двигателя 21214 Тип двигателя бензиновый Система питания впрыск топлива с электронным управлением Количество, расположение цилиндров не менее 4, рядное Рабочий объем, куб. см не менее 1690 Максимальная мощность, кВт (л.с.) / об. мин. не менее 61 (83) / 5000 Максимальный крутящий момент, Нм / об. мин. 129 / 4000 Топливо бензин, min 95 Динамические характеристики Максимальная скорость, км/ч не менее 142 Время разгона 0-100 км/ч, с не менее 17,0 Расход топлива Городской цикл, л/100 км не более12,1 Загородный цикл, л/100 км не более 8,3 Смешанный цикл, л/100 км не более 9,9 Масса Снаряженная масса, кг не более 1285 Технически допустимая максимальная масса, кг не менее 1610 Максимальная масса прицепа без тормозной системы / с тормозной системой, кг не менее 300 / 600 Объем топливного бака, л не менее 42 Трансмиссия Тип трансмиссии не менее 5МТ Передаточное число главной передачи не более 3,9 Подвеска Передняя независимая, на поперечных рычагах, пружинная, с гидравлическими телескопическими амортизаторами и стабилизатором поперечной устойчивости Задняя зависимая, рычажная, пружинная, с гидравлическими телескопическими амортизаторами Шины Размерность не менее 185/75 R16 (92/93/95, Q/Т)
Дополнительное оборудование:
кит-комплект шестерен раздаточной коробки: повышенная не более 1,2/ пониженная не более 3,152
Дисковый самоблокирующийся дифференциал (задняя ось) – не менее 1 шт.
Дисковый самоблокирующийся дифференциал (передняя ось) – не менее 1 шт.
Независимое крепление переднего редуктора
Подрамник раздаточной коробки
Комплект усиленных, разгруженных полуосей  с 24- мя шлицами.
Электропривод переключения раздаточной коробки
Балка заднего моста усиленная
Защита картера двигателя и раздатки КПП усиленная «Броня»
Шумоизоляция  кузова (крыша, двери, багажник, салон)
Коврики салона
Коврик в багажник (пластик)
Антикоррозийная обработка кузова","**************************************************










29.10.22.000"
231,постоянный задний жестко подключаемым передним передние тормоза,**************************************************Привод*************************Привод,"**************************************************Постоянный задний, с жестко подключаемым передним*************************Постоянный задний, с жестко подключаемым передним"
232,,*************************,*************************
233,,*************************,*************************
234,передний,"**************************************************с обогревом, электрорегулировкой, электроприводом складывания, повторителем указателя поворота*************************с обогревом, электрорегулировкой, электроприводом складывания, повторителем указателя поворота","**************************************************












шт.
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 *************************












шт.
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 "
235,передний,*************************,*************************
236,,**************************************************Легковой переднеприводный автомобиль среднего класса (отечественного производства) для обеспечения служебной деятельности*************************Привод,**************************************************29.10.22.000*************************передний
237,,**************************************************Привод,**************************************************принудительная блокировка дифференциала заднего моста
238,,**************************************************Привод колес – задний,"**************************************************показатель, значение которого не может изменяться"
239,передний передняя,**************************************************Тип привода,**************************************************
240,задних колес,**************************************************nan,**************************************************nan*************************nan
241,,**************************************************nan,**************************************************nan*************************nan
242,,"**************************************************Класс автомобиля – седан;
Тип привода – передний;
Тип трансмиссии – автоматическая коробка переключения передач, 6 ступенчатая;
Объем двигателя* – не менее 1995см. куб и не более 2001;
Положения руля – левая сторона;
Габариты кузова:
длина кузова* –  не менее 4845 мм и не более 4855 мм;
ширина кузова* – не менее 1825 мм и не более 1830 мм;
высота кузова* – не менее 1455 мм и не более 1485 мм;

Колесная база* – не менее 2775 мм и не более 2780 мм;
Клиренс (просвет)* – не менее 145 мм и не более 160 мм;
Объем багажного отделения* –  не менее 500 л;
Количество дверей не менее 4;
Максимальная мощность – не менее 145 л.с. и не более 170 л.с.
Максимальный крутящий момент - не менее 195 Нм;
Тип двигателя – бензиновый;
Объем топливного бака* – не менее 65 л;

Расход топлива:
Смешанный цикл:* не более 7,3 литров на 100 км.
Тип топлива не ниже АИ-92 и не выше АИ-95;
Максимальная скорость* –  не менее 210 км/ч;
Стандарт токсичности отработавших газов* – не менее Евро 5;
Передние тормоза – дисковые.
Задние тормоза – дисковые.
Наличие антиблокировочной системы тормозов ABS.
Система распределения тормозного усилия и поддержки экстренного торможения (EBS)
Антипробуксовочная система;
Система курсовой устойчивости;
Летние шины, размером, соответствующим рекомендациям завода изготовителя, легкосплавные диски не менее 16 дюймов. Наличие запасного колеса;
Наличие электроусилителя руля;
Наличие фронтальных, боковых подушек безопасности и шторок безопасности;
Наличие передних и задних ремней безопасности;
Наличие электростеклоподъемников всех дверей. Электрообогрев лобового стекла в зоне стеклоочистителей и заднего стекла;
Наличие передних и задних датчиков парковки;
Наличие функции – открытие бензобака  багажника из салона;
Наличие двухзонного климат-контроля;
Светодиодные дневные ходовые огни, Передние противотуманные фары;
Обивка сидений- ткань, комбинированный кожа/замша. Цвет обивки- черный, серый, темно-коричневый;
Наличие центрального замка с дистанционным управлением;
Наличие бортового компьютера;
Наружные зеркала в цвет кузова с электрорегулировкой, электроприводом складывания, подогревом и повторителями указателей поворота;
Аудиосистема:
Радио,CD,MP3,USB.Динамики не менее 6шт.Дистанционного управление аудиосистемой на руле;
Наличие коммуникационной системы Bluetooth;

Наличие цветной сенсорной LCD-дисплей в центральной консоли не менее 6 дюймов;
Цвет кузова: белый, металлик: белый, жемчужно-белый, серебристый, серый, серо-бежевый, бежевый;
Подогрев передних сидений;
Наличие сигнализации, системы запуска двигателя кнопкой;
Наличие подлокотников для второго ряда сидений;
Наличие камеры заднего вида;
Наличие датчиков дождя, света;
Цветной дисплей на панели приборов;
Рулевое колесо и селектор переключения передач с кожаной отделкой;
Регулировка рулевой колонки по углу наклона и вылету;
Количество посадочных мест – не менее 5;
Год изготовления транспортного средства* – не ранее 2017 года.",**************************************************-
243,передний,**************************************************Привод:,**************************************************
244,передний,**************************************************Передний привод*************************Передний привод,***************************************************************************
245,передний,**************************************************Привод,**************************************************
246,передний,"**************************************************Год выпуска – не ранее 2017г.
Технические характеристики:
Колесная формула/ведущие колеса – 4х2/2
Тип кузова/количество дверей – цельнометаллический, несущий, седан/4;
 Передний привод; трансмиссия – гидромеханическая; коробка передач автоматическая; число передач не должно быть меньше 6-вперед, 1-назад; передаточные числа не более: I-3.300, II-1.900, III-1.420, IV-1.000, V-0.713, VI-0.608, передача заднего хода – 4.148; главная передача – 3.815;
Габаритные размеры, мм -  не менее: 4850х1825х1480; 
Внутренние размеры и объемы, мм – не менее: длина салона-2080, ширина салона-1525; высота салона – 1210; колесная база, мм -  не менее: 2775
Тип двигателя – бензиновый.  Количество и расположение цилиндров – не менее 4/рядное. Рабочий объем двигателя – не более 2494см3;  степень сжатия не менее 10.4:1; максимальная мощность, кВт при об/мин не менее 133(6000); максимальная мощность, л.с. при об/мин: 181(6000); максимальный момент, Nm при об/мин не менее 231 (4100). Клапанный механизм: цепной привод с двойной электронной системой изменения фаз газораспределения; диаметр цилиндра, мм не менее 90; ход поршня, мм не менее 98; Топливо – бензин с октановым числом не менее 92. Соответствует экологическому классу – не менее Евро 5. Топливный бак, л – не более 77;  
Расход топлива: городской цикл –  не более 11,0л, загородный цикл - не более 5,9л; смешанный цикл – не более 7,8л;
Выделение СО2, г/км: городской цикл-  не более 259, загородный цикл- не более 140, смешанный цикл- не более 183;                             
Подвеска передняя: независимая, пружинная, со стабилизатором поперечной устойчивости. Задняя: независимая, пружинная, со стабилизатором поперечной устойчивости;
Рулевое управление должно быть  с электроусилителем, рулевой механизм типа «шестерня-рейка».
Тормозная система: тормозные механизмы передние: вентилируемые тормозные диски, размеры, мм: не менее 296х28; тормозные механизмы задние: невентилируемые тормозные диски, размеры, мм не менее 281х10.  Система активной безопасности и управления динамикой – антиблокировочная  система тормозов, усилитель  экстренного  торможения, 
электронная система распределения тормозного усилия, антипробуксовочная система, 
система курсовой устойчивости.
Шины – не менее 215/55R17. 
Привод: передний
Минимальный дорожный просвет, мм  не менее 160; колея, мм передняя не менее 1580 (шины 17""), задняя, мм не менее 1570 (шины 17""); свесы передний, мм не менее 990; свесы задний, мм, не менее 1085;
Объем багажного отделения, л не менее  483;
Время разгона до , сек – не более  9; максимальная скорость, км/ч - не менее 210;
Комплектация:
Фронтальные подушки безопасности водителя и переднего пассажира. Боковые подушки безопасности и шторки безопасности для передних и задних пассажиров; антиблокировочная система, система распределения тормозного усилия,  усилитель экстренного торможения, 
антипробуксовочная система,  
система курсовой устойчивости, конструкция передних сидений снижающая вероятность травмы шеи, система вызова экстренных оперативных служб.  
Датчик света; ксеноновые фары ближнего света с омывателем; автоматическая корректировка угла наклона фар; светодиодные дневные ходовые огни; передние противотуманные фары; задние противотуманные фары; система автоматического переключения дальнего света на ближний; индикатор низкого уровня омывающей жидкости; тройной сигнал указателей поворота при однократном нажатии; камера заднего вида с динамической разметкой.
Электроусилитель рулевого управления. Мультифункциональное рулевое колесо. Регулировка рулевой колонки  по  вылету и наклону; подогрев рулевого колеса. 
Электропривод водительского сиденья в 8 направлениях; электрорегулировка пассажирского сиденья в 4 направлениях; электрорегулировка сидений  второго ряда в 2-х направлениях в пропорции 40:20:40;сиденье водителя с электрорегулировкой поясничной опоры; подогрев передних сидений; подогрев задних сидений; передние и задние электростеклоподъемники с функцией «Auto»; зеркала заднего вида с обогревом; боковые зеркала заднего вида с электрорегулировкой и электроприводом складывания; боковые зеркала заднего вида с повторителями указателей поворота.
Электрообогрев лобового стекла; датчик дождя; 3-зонный климат-контроль; ионизатор воздуха; дополнительные воздуховоды для второго ряда сидений; салонное зеркало заднего вида с автоматическим затемнением; 
Интеллектуальная система доступа в автомобиль с кнопкой запуска двигателя; центральный замок с дистанционным управлением; иммобилайзер. 
Круиз – контроль с управлением на руле; передние и задние датчики парковки; шумоизолирующее ветровое стекло.
Бортовой компьютер;  7» цветной многофункциональный сенсорный дисплей на центральной консоли; система Bluetooth; разъемы AUX+USB для подключения к мультимедиа системе.
Обивка сидений кожей, отделка салона вставками «под дерево», рулевое колесо с кожаной обивкой, кожаная обивка селектора управления трансмиссией; комплект резиновых  ковриков для первого и второго ряда сидений; ручки дверей с хромированной накладкой; индивидуальные лампы для чтения первого и второго ряда сидений; элементы управления аудиосистемой, подогревом задних сидений, климат - контролем, регулировкой задних сидений для пассажиров 2 ряда сидений; подсветка в зоне ног водителя и переднего пассажира; подвеска адаптированная для Российских дорог; полноразмерное запасное колесо на стандартном легкосплавном диске.
Аудиосистема (радио, CD, МР3, WMA) с 10 динамиками; мультимидийная система; навигационная система;  легкосплавные диски 17"" с шинами 215/55R17; панель приборов дисплея не менее 4,2; беспроводное зарядное устройство.
Дополнительное оборудование (должно быть в наличии): 
Защита двигателя (материал изготовления сталь толщина (не менее, ) – 1шт. для одного автомобиля;
Набор автомобилиста (огнетушитель, аптечка, аварийный знак, буксировочный трос) – 1набор для одного автомобиля; 
Колеса в сборе: диск колеса легкосплавный R17 (оригинальный) Шина летняя 215/55R17 – 4шт. для одного автомобиля.
Автомобиль укомплектован: инструкция по эксплуатации. Паспорт транспортного средства. Документы для постановки на учет в органах ГИБДД.
Гарантия автомобиля составляет 3 года или 100 тыс.км пробега (в зависимости от того, что наступит раньше).
Сервисное обслуживание: составляет  пробега или один год. 
Цвет: цвет кузова; черный металлик; цвет салона – черный кожаный",**************************************************2
247,,*************************,*************************
248,задних колес,*************************,*************************
249,распределенный электронным управлением,*************************,*************************
250,,*************************,*************************
251,передний,**************************************************Привод:*************************nan,**************************************************Привод:*************************nan*************************nan
252,полный,**************************************************Тип привода,**************************************************Полный
253,передний,*************************,*************************
254,передний,"**************************************************Автомобиль легковой
1. Поставляемый товар должен быть новым товаром, который не был в употреблении, в ремонте, в том числе который не был восстановлен, у которого не была осуществлена замена составных частей, не были восстановлены потребительские свойства.
2. Кузов – седан 
3. Количество дверей: не менее 4
4. Габаритные размеры: 
 - длина не более 4500 мм 
 - ширина не более 1750 мм 
 - высота не более 1550 мм; 
5. Колёсная база не более 2650 мм 
6. Объем багажника не менее 450л 
7. Объем топливного бака не менее 40 л
8. Полная масса не более 1600 кг 
9. Снаряженная масса не более 1200 кг 
10. Двигатель: бензиновый 
11. Система питания двигателя: распределенный впрыск 
12. Тип трансмиссии: механическая 
13. Тип привода: передний
14. Объем двигателя не менее 1,6л 
15. Мощность двигателя не менее 120 л. с 
16. Расход топлива комбинированный (л/100км.) не более 7,5 л 
17. Максимальная скорость не менее 170 км/ч 
18. Стальные диски (см) не менее 15'' с полноразмерными колпаками и шинами 185/65R15 (комплект 5 колес в т. ч 1 полноразмерное запасное колесо)
19. Лобовое стекло с солнцезащитной полосой
20. Зеркала заднего вида с электроприводом и подогревом
21. Корректор угла наклона фар
22. Дневные ходовые огни (DRL)
23. Дополнительный стоп-сигнал
24. Подголовники с регулировкой по высоте 
25. Центральная лампа освещения интерьера
26. Фронтальные подушки безопасности 
27. Задние сидения со спинками, складывающимися в соотношении 60/40 
28. Антиблокировочная система тормозов (ABS) 
29. Система предупреждения об экстренном торможении (ESS) 
30 Передние трёхточечные ремни безопасности с регулировкой по высоте 
31. Индикация не пристегнутого ремня безопасности водителя; 
32. Блокировка задних дверей от случайного открытия 
33. Кондиционер 
34. Гидроусилитель руля 
35. Бортовой компьютер 
36. Регулировка рулевой колонки по высоте 
Сидение водителя с регулировкой по высоте 
37. Аудиосистема с радио/CD/MP3, USB и AUX входы с 4-мя динамиками 
38. Передние стеклоподъёмники с электроприводом 
39. Аккумулятор увеличенной ёмкости (не менее 48А/ч)
 40. Передние и задние брызговики 
41. Трехструйные форсунки стеклоомывателя, расположенные под зоной стоянки стеклоочистителей 
42. Увеличенный бачок омывающей жидкости (не менее 4л) 
43. Клиренс не менее160мм 
44. Обработка кузова и днища автомобиля антикоррозионным покрытием
 45. Срок службы ламп передних фар не менее 1500 часов 
46. Мощность отопительной системы не менее 4650 ккал 
47. Обработка радиатора материалом, защищающим от агрессивной внешней среды. 
48. Набор резиновых ковриков (4 шт. для салона и 1 для багажника)
49. Автомобиль не ранее 2017 года выпуска*************************1. Поставляемый товар должен быть новым товаром, который не был в употреблении, в ремонте, в том числе который не был восстановлен, у которого не была осуществлена замена составных частей, не были восстановлены потребительские свойства. 
2. Кузов – седан 
3. Количество дверей: не менее 4 
4. Габаритные размеры: 
- длина не более 4500 мм 
- ширина не более 1750 мм 
- высота не более 1550 мм; 
5. Колёсная база не более 2650 мм 
6. Объем багажника не менее 450л 
7. Объем топливного бака не менее 40 л 8. Полная масса не более 1600 кг 
9. Снаряженная масса не более 1200 кг 
10. Двигатель: бензиновый 
11. Система питания двигателя: распределенный впрыск 12. Тип трансмиссии: механическая 
13. Тип привода: передний 
14. Объем двигателя не менее 1,6л 
15. Мощность двигателя не менее 120 л. с 
16. Расход топлива комбинированный (л/100км.) не более 7,5 л 
17. Максимальная скорость не менее 170 км/ч 
18. Стальные диски (см) не менее 15'' с полноразмерными колпаками и шинами 185/65R15 (комплект 5 колес в т. ч 1 полноразмерное запасное колесо) 
19. Лобовое стекло с солнцезащитной полосой 
20. Зеркала заднего вида с электроприводом и подогревом 
21. Корректор угла наклона фар 
22. Дневные ходовые огни (DRL) 
23. Дополнительный стоп-сигнал 
24. Подголовники с регулировкой по высоте 
25. Центральная лампа освещения интерьера 
26. Фронтальные подушки безопасности 
27. Задние сидения со спинками, складывающимися в соотношении 60/40 
28. Антиблокировочная система тормозов (ABS) 
29. Система предупреждения об экстренном торможении (ESS) 
30 Передние трёхточечные ремни безопасности с регулировкой по высоте 
31. Индикация не пристегнутого ремня безопасности водителя; 
32. Блокировка задних дверей от случайного открытия 
33. Кондиционер 
34. Гидроусилитель руля 
35. Бортовой компьютер 
36. Регулировка рулевой колонки по высоте Сидение водителя с регулировкой по высоте 
37. Аудиосистема с радио/CD/MP3, USB и AUX входы с 4-мя динамиками 
38. Передние стеклоподъёмники с электроприводом 
39. Аккумулятор увеличенной ёмкости (не менее 48А/ч) 
40. Передние и задние брызговики 
41. Трехструйные форсунки стеклоомывателя, расположенные под зоной стоянки стеклоочистителей 
42. Увеличенный бачок омывающей жидкости (не менее 4л) 
43. Клиренс не менее160мм 
44. Обработка кузова и днища автомобиля антикоррозионным покрытием 
45. Срок службы ламп передних фар не менее 1500 часов 46. Мощность отопительной системы не менее 4650 ккал 47. Обработка радиатора материалом, защищающим от агрессивной внешней среды. 
48. Набор резиновых ковриков (4 шт. для салона и 1 для багажника) 
49. Автомобиль не ранее 2017 года выпуска",**************************************************Штука*************************Штука
255,передний,**************************************************Зеркала заднего вида с электроприводом и подогревом,**************************************************наличие
256,передний,**************************************************Тип привода,**************************************************Постоянный задний с жестко подключаемым передним
257,полный,**************************************************Привод,**************************************************
258,,"**************************************************переднеприводная
",**************************************************
259,,**************************************************тип привода,**************************************************передний
260,,"**************************************************Автомобили выпуска не ранее 2017 года:
Двигатель: не ниже 1990 кубических сантиметров
Мощность: не менее 135 л.с.
Тип кузова: универсал
Цвет: хаки или зеленых тонов.
Трансмиссия: механическая, не менее 6 ступеней,
Колесная формула: 4x4,
Тип привода: полный, подключаемый,
Тип двигателя: бензиновый,
Экологический стандарт: не ниже Euro 4
Тип топлива: неэтилированный бензин с октановым числом не менее 92 и не более 95
Тормозная система:
передние - дисковые вентилируемые
задние – барабанные 
Размеры:
длина – не менее 4300 мм,
ширина – не менее 1800 мм,
высота – не менее 1600 мм,
дорожный просвет – не ниже 210 мм,
Объем топливного бака: не менее 50л.,
Состав комплектации
- Дневные ходовые огни,
- Тканевая обивка сидений,
- Подушки безопасности не менее 1 шт.,
- Подголовники сзади не менее 2шт,
- Антиблокировочная система (ABS) с распределением тормозных усилий
- Рулевая колонка с регулировкой по высоте,
- Усилитель рулевого управления
- Центральный замок с дистанционным управлением.
- Комбинация приборов со спидометром, тахометром, одометром, счётчиком суточного пробега и часами,
- Обогрев заднего стекла,
- Система кондиционирования воздуха в салоне,
- Передние электростеклоподъемники,
- Аудиосистема: радио/MP3, не менее 4 динамиков,
-Стальные колесные диски с шинами не менее R16,
- Запасное колесо,
- Бортовой инструмент и домкрат,
- Защита картера двигателя.

Требования к поставке товара
Автомобиль должен:
- быть отечественных марок, иностранных марок российской сборки;
- быть новым (не бывшим в употреблении), не должен иметь дефектов и повреждений, должен отвечать требованиям стандартов, технических условий и санитарных норм, установленных в Российской Федерации;
- общий пробег по одометру не более .
- гарантийный срок производителя (завода-изготовителя)  – не менее 36 месяцев с даты продажи автомобиля или не менее ;
- гарантийное обслуживание должно осуществляться в сервисном центре, расположенном в Чувашской Республике.
Сроки, место и условия поставки товара
Сроки поставки: в течение 30 (тридцати) календарных дней со дня подписания контракта.
Товар доставляется силами и за счет Поставщика по адресу: Чувашская Республика, г. Цивильск, ул. Северная д. 1а. ",**************************************************1
261,передний,*************************,*************************
262,передний,*************************,*************************
263,задний,**************************************************Привод,**************************************************Задний
264,,"**************************************************автомобиль
Легковой автомобиль. Год выпуска не ранее 2017 г.
Общие характеристики автомобиля: 
Тип кузова: седан; Цвет: черный.
Количество дверей: не менее 5;
Количество мест: 5;
Категория: ТС, В
Коробка передач: механическая 6-ти ступенчатая; Привод: передний;
Двигатель:
Тип двигателя: бензиновый с распределенным впрыском топлива, тип топлива АИ-92
Рабочий объем двигателя: не менее 1590 куб. см.;
Максимальная мощность: не менее 102 л. с.
Экологический стандарт: Евро 5.
Динамические характеристики:
Максимальная скорость: не менее 163 км/час;
Время разгона 0-100 км/ч, с: не более 11,3;
Расход топлива:
Вид топлива: АИ-92;
Расход топлива в смешанном цикле: не более 7,4л/100 км;
Емкость топливного бака: не менее 43 л;
Габаритные размеры:
Длина, мм: не менее 4300
Ширина, мм: не менее 1700
Высота, мм: не менее 1470;
Масса не более 1300 кг;
Колесная база: не менее 2570 мм;
Клиренс: не менее 150 мм;
Объем багажника: не менее 480 л.
Колеса и колесные диски:
Диски с колпаками, шины не менее 185/65 R15дюймов;
Полноразмерное запасное колесо;
Дополнительно автомобиль комплектуется:
 Комплектом зимней резины не менее 185/65 R15;
Дисками, комплектами «секретных» болтов, ковриками салона, ковриком багажного отсека, комплектом чехлов,
защитой картера, дефлекторами окон, дефлекторами капота, амортизатором капота.
Автомобиль оборудован сигнализацией.
Безопасность:
Фронтальные подушки безопасности водителя и переднего пассажира;
ABS Антиблокировочная система тормозов; 
Задние тормоза барабанного типа
Иммобилайзер;
Центральный замок; 
Система предупреждения водителей сзади при экстренном торможении;
Ремни безопасности. Возможность регулировки передних ремней безопасности по высоте.
Интерьер и оборудование салона: 
Брызговики спереди и сзади 
Гидроусилитель руля 
Тройное мигание поворотников при неполном нажатии рычага 
Регулировка рулевой колонки по высоте 
Регулировка сиденья водителя по высоте 
Воздушный фильтр салона 
Дневные ходовые огни в бампере 
Электростеклоподъемники с подсветкой кнопок 
Датчик наружной температуры 
Шумоизоляция капота и внутренняя обшивка крышки багажника 
 Воздуховоды к ногам задних пассажиров 
 Портативная пепельница и прикуриватель
 Складывающаяся по частям спинка заднего сиденья 6:4 
Аудиоподготовка не менее 4 динамиков, антенна
Кондиционер 
Подогрев передних сидений 
Зеркала с электроприводом и обогревом 
Пульт управления центральным замком в ключе
Подогрев зоны покоя стеклоочистителей 
Аудиосистема CD/MP3, радио 
USB, AUX разъемы 
Управление аудиосистемой на руле
Ручки дверей и корпуса наружных зеркал в цвет кузова*************************Легковой автомобиль. Год выпуска __________ г.
Общие характеристики автомобиля: 
Тип кузова: седан; Цвет: черный.
Количество дверей: _________;
Количество мест: 5;
Категория: ТС,В
Коробка передач: механическая 6-ти ступенчатая; Привод: передний;
Двигатель:
Тип двигателя: бензиновый с распределенным впрыском топлива, тип топлива АИ-92
Рабочий объем двигателя: ________0 куб.см.;
Максимальная мощность : ________ л.с.
Экологический стандарт: Евро 5.
Динамические характеристики:
Максимальная скорость: __________ км/час;
Время разгона 0-100 км/ч,с: __________;
Расход топлива:
Вид топлива: АИ-92;
Расход топлива в смешанном цикле: __________/100 км;
Емкость топливного бака: __________л;
Габаритные размеры:
Длина, мм : __________
Ширина, мм: __________
Высота ,мм: __________;
Масса __________кг;
Колесная база: __________мм;
Клиренс: __________мм;
Объем багажника: __________л.
Колеса и колесные диски:
Диски с колпаками, шины __________дюймов;
Полноразмерное запасное колесо;
Дополнительно автомобиль комплектуется :
 Комплектом зимней резины  __________;
Дисками, комплектами «секретных» болтов, ковриками салона, ковриком багажного отсека, комплектом чехлов,
защитой картера, дефлекторами окон, дефлекторами капота, амортизатором капота.
Автомобиль оборудован сигнализацией.
Безопасность:
Фронтальные подушки безопасности водителя и переднего пассажира;
ABS Антиблокировочная система тормозов;	
Задние тормоза барабанного типа
Иммобилайзер;
Центральный замок;	
Система предупреждения водителей сзади при экстренном торможении;
Ремни безопасности. Возможность регулировки передних ремней безопасности по высоте.
Интерьер и оборудование салона:	
Брызговики спереди и сзади	
Гидроусилитель руля	
Тройное мигание поворотников при неполном нажатии рычага	
Регулировка рулевой колонки по высоте	
Регулировка сиденья водителя по высоте	
Воздушный фильтр салона	
Дневные ходовые огни в бампере	
Электростеклоподъемники с подсветкой кнопок	
Датчик наружной температуры			
Шумоизоляция капота и внутренняя обшивка крышки багажника			
 Воздуховоды к ногам задних пассажиров		
 Портативная пепельница и прикуриватель
 Складывающаяся по частям спинка заднего сиденья 6:4	
Аудиоподготовка __________динамиков, антенна
Кондиционер			
Подогрев передних сидений			
Зеркала с электроприводом и обогревом	
Пульт управления центральным замком в ключе
Подогрев зоны покоя стеклоочистителей	
Аудиосистема CD/MP3, радио		
USB, AUX разъемы 
Управление аудиосистемой на руле
Ручки дверей и корпуса наружных зеркал в цвет кузова.",**************************************************Штука*************************
