,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
12,Сургутская ГРЭС-1, Тепловая электростанция ,3268.0, 20 829.70 млн. кВт*ч, Сургут, Широта: 61.279444 Долгота: 73.488889,903.0, 1 556.80 тыс. Гкал, 73 %," 628406, п.Кедровый, г.Сургут, Ханты-Мансийский автономный округ – Югра, Тюменская область, Российская Федерация", 324.70 г/кВт•ч, 139.40 кг/Гкал,2809.9734599999997,0.27631578947368424
13,Пермская ГРЭС, Тепловая электростанция ,3363.0, 13 538.08 млн. кВт*ч, Добрянка, Широта: 58.495937 Долгота: 56.347075,620.0, 279.04 тыс. Гкал, 75.77 %," 618740, Пермский край, г. Добрянка, Пермская ГРЭС", 303.30 г/кВт•ч,,2891.658735,0.18435920309247694
14,Рязанская ГРЭС, Тепловая электростанция ,3070.0, 4 369.90 млн. кВт*ч, Новомичуринск, Широта: 54.035556 Долгота: 39.779444,180.0, 212.60 тыс. Гкал, 16 %," Россия, 391160, Рязанская область, г. Новомичуринск, ул. Промышленная, 1.", 384.40 г/кВт•ч, 181.40 кг/Гкал,2639.72415,0.05863192182410423
15,Смоленская АЭС, Атомная электростанция ,3000.0,, Десногорск, Широта: 54.164722 Долгота: 33.236667,0.0,,,,,,2579.535,0.0
16,Богучанская ГЭС, Гидроэлектростанция ,2997.0, 17 600 млн. кВт*ч, Кодинск, Широта: 58.694444 Долгота: 99.148889,,,," 663491, Красноярский край, Кежемский район, г. Кодинск, а/я 132",,,2576.955465,
17,Волжская ГЭС, Гидроэлектростанция ,2671.0, 11 566 млн. кВт*ч, Волжский, Широта: 48.824444 Долгота: 44.676667,,,," 404130, г. Волжский, пр. Ленина, д.1а",,,2296.645995,
18,Киришская ГРЭС, Тепловая электростанция ,2595.0, 4 406.70 млн. кВт*ч, Кириши, Широта: 59.489167 Долгота: 32.050278,1234.0, 2 797 тыс. Гкал, 19 %," 187110, Российская Федерация, Ленинградская обл., г. Кириши, шоссе Энтузиастов", 265.10 г/кВт•ч, 142.80 кг/Гкал,2231.297775,0.47552986512524087
19,Конаковская ГРЭС, Тепловая электростанция ,2520.0, 9 581 млн. кВт*ч, Конаково, Широта: 56.740961 Долгота: 36.770742,120.0, 220 тыс. Гкал,," 171252, Тверская область, г. Конаково, ул. Промышленная 12",,,2166.8094,0.047619047619047616
20,Жигулевская ГЭС, Гидроэлектростанция ,2467.0, 10 484 млн. кВт*ч, Жигулёвск, Широта: 53.426451 Долгота: 49.479416,,,," 445350, г. Жигулевск, Московское шоссе, 2, Самарская область",,,2121.237615,
21,Ириклинская ГРЭС, Тепловая электростанция ,2444.0, 9 398.31 млн. кВт*ч, Энергетик, Широта: 51.754001 Долгота: 58.803291,121.0, 111.31 тыс. Гкал, 53.61 %," 462803, Оренбургская область, Новоорский район, п. Энергетик", 330.05 г/кВт•ч,,2101.46118,0.049509001636661214
22,Ставропольская ГРЭС, Тепловая электростанция ,2415.0, 8 707.90 млн. кВт*ч, Ставрополь, Широта: 45.312222 Долгота: 41.511111,220.0, 73.40 тыс. Гкал, 41 %," 356128, Российская Федерация, Ставропольский край, Изобильненский район, посёлок Солнечнодольск, ул. Техническая, 14", 332.70 г/кВт•ч, 172.20 кг/Гкал,2076.525675,0.09109730848861283
23,Нововоронежская АЭС-2, Атомная электростанция ,2400.0,, Нововоронеж, Широта: 51.269603 Долгота: 39.211228,0.0,,,,,,2063.6279999999997,0.0
24,Березовская ГРЭС-1, Тепловая электростанция ,2400.0, 8 971 млн. кВт*ч, Шарыпово, Широта: 55.579444 Долгота: 89.072500,986.6, 430 тыс. Гкал, 56.80 %," 662328, Красноярский край, Шарыповский район, промбаза Энергетиков, дом 1/15",,,2063.6279999999997,0.41108333333333336
25,Балтийская АЭС, Атомная электростанция ,2388.0,, Неман, Широта: 54.939204 Долгота: 22.164717,0.0,,,,,,2053.30986,0.0
26,Троицкая ГРЭС, Тепловая электростанция ,2234.0, 2 519.50 млн. кВт*ч, Троицк-5, Широта: 54.036944 Долгота: 61.647222,315.0, 429.10 тыс. Гкал, 22 %," 457105, Российская Федерация, Челябинская область, г. Троицк-5", 450.70 г/кВт•ч, 168.10 кг/Гкал,1920.89373,0.14100268576544314
27,Новочеркасская ГРЭС, Тепловая электростанция ,2214.0, 9 155.90 млн. кВт*ч, Новочеркасск, Широта: 47.400000 Долгота: 40.233333,60.0, 80 тыс. Гкал, 55 %," 346448, Российская Федерация, Ростовская область, г. Новочеркасск, ш. Багаевское, д. №10", 370.90 г/кВт•ч, 184.90 кг/Гкал,1903.6968299999999,0.02710027100271003
28,Заинская ГРЭС, Тепловая электростанция ,2200.0, 8 049.08 млн. кВт*ч, Заинск, Широта: 55.290278 Долгота: 52.022778,110.0,,,,,,1891.6589999999999,0.05
29,Нижневартовская ГРЭС, Тепловая электростанция ,2013.0, 13 930.09 млн. кВт*ч, Излучинск, Широта: 60.975833 Долгота: 76.943333,758.0, 224.48 тыс. Гкал,,,,,1730.8679849999999,0.37655240933929457
30,Бурейская ГЭС, Гидроэлектростанция ,2010.0, 6 114 млн. кВт*ч, Благовещенск, Широта: 50.270000 Долгота: 130.313611,36.0,,,,,,1728.28845,0.01791044776119403
31,Ростовская АЭС, Атомная электростанция ,2000.0,, Волгодонск, Широта: 47.597222 Долгота: 42.366667,0.0,,,,,,1719.69,0.0
32,Каширская ГРЭС, Тепловая электростанция ,1910.0, 3 720.30 млн. кВт*ч, Кашира, Широта: 54.858056 Долгота: 38.259722,458.0, 225.31 тыс. Гкал, 27.80 %," 142900, РФ, Московская область, г. Кашира-2", 357.30 г/кВт•ч,,1642.30395,0.23979057591623038
33,Нововоронежская АЭС, Атомная электростанция ,1880.0,, Нововоронеж, Широта: 51.282222 Долгота: 39.210000,0.0,,,,,,1616.5086,0.0
34,ТЭЦ-26, Теплоэлектроцентраль ,1840.0, 9 061 млн. кВт*ч, Москва, Широта: 55.577500 Долгота: 37.630000,4212.0, 8 225 тыс. Гкал,," 117403, г. Москва, Востряковский пр-д, домовладение 10",,,1582.1147999999998,2.2891304347826087
35,Кармановская ГРЭС, Тепловая электростанция ,1831.0, 8 208.39 млн. кВт*ч, Нефтекамск, Широта: 56.248556 Долгота: 54.588194,204.0, 75.19 тыс. Гкал,,,, 167.10 кг/Гкал,1574.376195,0.11141452758055707
36,ТЭЦ-21, Теплоэлектроцентраль ,1800.0, 8 133 млн. кВт*ч, Москва, Широта: 55.894675 Долгота: 37.510719,4958.0, 10 506 тыс. Гкал,," 125412, г. Москва, ул. Ижорская, д. 9",,,1547.721,2.7544444444444443
37,Кольская АЭС, Атомная электростанция ,1760.0,, Полярные Зори, Широта: 67.466667 Долгота: 32.466667,0.0,,,,,,1513.3272,0.0
38,Среднеуральская ГРЭС, Тепловая электростанция ,1578.5, 7 213 млн. кВт*ч, Среднеуральск, Широта: 57.002265 Долгота: 60.463481,1327.0, 3 742 тыс. Гкал,," 624070 Свердловская обл., г. Среднеуральск, ул.Ленина, 2",,,1357.2653324999999,0.8406715235983528
39,Ленинградская ГАЭС, Гидроаккумулирующая электростанция ,1560.0, 2 340 млн. кВт*ч, Санкт-Петербург, указать местонахождение электростанции,,,,,,,1341.3582,
40,Невинномысская ГРЭС, Тепловая электростанция ,1530.2, 7 760 млн. кВт*ч, Невинномысск, Широта: 44.659500 Долгота: 41.929361,749.0, 1 729 тыс. Гкал,," 357107, Ставропольский край, г. Невинномысск, ул. Энергетиков, 2",,,1315.734819,0.48947849954254347
41,Шатурская ГРЭС, Тепловая электростанция ,1493.0, 4 899 млн. кВт*ч, Шатура, Широта: 55.583333 Долгота: 39.561111,344.3, 355 тыс. Гкал, 37.40 %," 140700, Московская область, г. Шатура, Черноозерский проезд, дом 5",,,1283.748585,0.230609511051574
42,Приморская ГРЭС, Тепловая электростанция ,1467.0, 4 081.80 млн. кВт*ч, Лучегорск, Широта: 46.462500 Долгота: 134.291111,237.0, 274.40 тыс. Гкал, 36.63 %,, 392.10 г/кВт•ч,,1261.392615,0.16155419222903886
43,ТЭЦ-23, Теплоэлектроцентраль ,1420.0, 6 298 млн. кВт*ч, Москва, Широта: 55.821111 Долгота: 37.771667,4530.0, 8 875 тыс. Гкал,," 107497, г. Москва, ул. Монтажная, д.1/4",,,1220.9799,3.1901408450704225
44,Саратовская ГЭС, Гидроэлектростанция ,1403.0, 5 600 млн. кВт*ч, Балаково, Широта: 52.048056 Долгота: 47.762222,,,," 413800, г.Балаково, Саратовская область",,,1206.362535,
45,Чебоксарская ГЭС, Гидроэлектростанция ,1370.0, 1 890 млн. кВт*ч, Новочебоксарск, Широта: 56.137331 Долгота: 47.466111,,,," 429951, Чувашская Республика, г. Новочебоксарск, ул. Набережная, д. 34",,,1177.98765,
46,ТЭЦ-25, Теплоэлектроцентраль ,1370.0, 7 030 млн. кВт*ч, Москва, Широта: 55.695278 Долгота: 37.446111,4088.0, 7 224 тыс. Гкал,," 119530, г. Москва, ул. Генерала Дорохова, д. 16",,,1177.98765,2.983941605839416
47,Зейская ГЭС, Гидроэлектростанция ,1330.0, 6 428 млн. кВт*ч, Зея, Широта: 53.769806 Долгота: 127.305444,,,,,,,1143.59385,
48,ТЭЦ-22, Теплоэлектроцентраль ,1310.0, 6 518 млн. кВт*ч, Дзержинский, Широта: 55.634141 Долгота: 37.817298,3606.0, 8 856 тыс. Гкал,," 140091, Московская область, г. Дзержинский, ул. Энергетиков, д. 5",,,1126.39695,2.7526717557251907
49,Томь-Усинская ГРЭС, Тепловая электростанция ,1272.0, 7 993.35 млн. кВт*ч, Мыски, Широта: 53.781389 Долгота: 87.587778,278.0,,,,,,1093.72284,0.21855345911949686
50,Красноярская ГРЭС-2, Тепловая электростанция ,1250.0, 5 929.90 млн. кВт*ч, Зеленогорск, Широта: 56.150278 Долгота: 94.480556,1176.0, 962.90 тыс. Гкал, 54 %," 663690, Российская Федерация , Красноярский край, г.Зеленогорск , ул. Первая Промышленная 2", 389 г/кВт•ч, 173.60 кг/Гкал,1074.8062499999999,0.9408
51,Назаровская ГРЭС, Тепловая электростанция ,1243.0, 4 426.05 млн. кВт*ч, Назарово, Широта: 56.037889 Долгота: 90.347778,870.0,,,,,,1068.787335,0.6999195494770716
52,Южная ТЭЦ-22, Теплоэлектроцентраль ,1207.0, 3 912.22 млн. кВт*ч, Санкт-Петербург, Широта: 59.827586 Долгота: 30.451183,2353.0, 3 645.32 тыс. Гкал, 37 %," Санкт-Петербург, Софийская ул., 96",,,1037.832915,1.9494614747307373
53,Нижнекамская ГЭС, Гидроэлектростанция ,1205.0,, Набережные Челны, Широта: 55.699722 Долгота: 52.278611,,,,,,,1036.113225,
54,Беловская ГРЭС, Тепловая электростанция ,1200.0, 5 697.62 млн. кВт*ч, Белово, Широта: 54.445556 Долгота: 86.423056,272.0,,,,,,1031.8139999999999,0.22666666666666666
55,Мокская ГЭС, Гидроэлектростанция ,1200.0, 4 680 млн. кВт*ч,, указать местонахождение электростанции,,,,,,,1031.8139999999999,
56,Новосибирская ТЭЦ-5, Теплоэлектроцентраль ,1200.0, 6 876.88 млн. кВт*ч, Новосибирск, Широта: 55.005556 Долгота: 83.060556,2730.0,,,,,,1031.8139999999999,2.275
57,Загорская ГАЭС, Гидроаккумулирующая электростанция ,1200.0, 1 860 млн. кВт*ч, Сергиев Посад, Широта: 56.482222 Долгота: 38.185556,,,,,,,1031.8139999999999,
58,Набережночелнинская ТЭЦ, Теплоэлектроцентраль ,1180.0, 4 036.01 млн. кВт*ч, Набережные Челны, Широта: 55.690556 Долгота: 52.475833,4092.0,,,,,,1014.6170999999999,3.4677966101694917
59,ТЭЦ ВАЗа, Теплоэлектроцентраль ,1172.0, 4 772.30 млн. кВт*ч, Тольятти, Широта: 53.575000 Долгота: 49.245278,3903.0,,,,,,1007.73834,3.330204778156997
60,Гусиноозерская ГРЭС, Тепловая электростанция ,1160.0, 4 964.22 млн. кВт*ч, Гусиноозёрск, Широта: 51.300833 Долгота: 106.483333,224.5, 229.12 тыс. Гкал, 47.70 %," 671160, Республика Бурятия, г. Гусиноозерск, Филиал ОАО «ОГК-3» ""ГО ГРЭС""", 366.20 г/кВт•ч,,997.4202,0.1935344827586207
61,ТЭЦ-20, Теплоэлектроцентраль ,1150.0, 2 033 млн. кВт*ч, Москва, Широта: 55.700081 Долгота: 37.585989,2620.0, 4 772 тыс. Гкал,," 117312, г. Москва, ул. Вавилова, д. 13, Юго-Западный округ",,,988.82175,2.2782608695652176
62,Краснодарская ТЭЦ, Теплоэлектроцентраль ,1120.0, 6 813 млн. кВт*ч, Краснодар, Широта: 45.017778 Долгота: 39.060833,679.0, 1 119 тыс. Гкал,,, 314.70 г/кВт•ч, 142.60 кг/Гкал,963.0264,0.60625
63,Иркутская ТЭЦ-10, Теплоэлектроцентраль ,1110.0, 2 188.79 млн. кВт*ч, Ангарск, Широта: 52.462194 Долгота: 103.979083,563.0,,,,,,954.42795,0.5072072072072072
64,Верхнетагильская ГРЭС, Тепловая электростанция ,1062.15, 5 380.57 млн. кВт*ч, Верхний Тагил, Широта: 57.355556 Долгота: 59.960278,240.0, 208.63 тыс. Гкал, 56.11 %," 624162, Свердловская область, г. Верхний Тагил, Промышленный проезд 4, Промплощадка",,,913.28436675,0.22595678576472247
65,Печорская ГРЭС, Тепловая электростанция ,1060.0, 3 660.84 млн. кВт*ч, Печора, Широта: 65.134444 Долгота: 57.315639,327.0, 260.80 тыс. Гкал, 39.14 %," 169600, Республика Коми, г.Печора. Печорская ГРЭС", 328 г/кВт•ч,,911.4357,0.30849056603773584
66,ТЭЦ-27, Теплоэлектроцентраль ,1060.0, 6 637 млн. кВт*ч, Мытищи, Широта: 55.916250 Долгота: 37.687869,1876.0, 3 652 тыс. Гкал,," 141031, Московская область, Мытищинский р-н, п/о Челобитьево",,,911.4357,1.769811320754717
67,Череповецкая ГРЭС, Тепловая электростанция ,1051.6, 4 186.70 млн. кВт*ч, Череповец, Широта: 59.228889 Долгота: 37.125000,39.0, 103.70 тыс. Гкал, 45 %," 162510, Российская Федерация, Вологодская область, рп Кадуй, ул. Промышленная, д.2", 298.80 г/кВт•ч, 194.60 кг/Гкал,904.2130019999998,0.03708634461772537
68,Яйвинская ГРЭС, Тепловая электростанция ,1025.0, 5 111 млн. кВт*ч, Березники, Широта: 59.337778 Долгота: 57.246111,69.0, 91 тыс. Гкал, 56.90 %," 618340, Пермский край, г. Александровск, пгт. Яйва, ул. Тимирязева, 5",,,881.3411249999999,0.06731707317073171
69,Воткинская ГЭС, Гидроэлектростанция ,1020.0, 2 793 млн. кВт*ч, Чайковский, Широта: 56.791944 Долгота: 54.083889,,,," 617761, г.Чайковский, Пермский край", office@votges.rushydro.ru,,877.0418999999999,
70,"Ветропарк ""Средняя Волга""", Ветряная электростанция ,1000.0,,, указать местонахождение электростанции,,,," Воскресенский район, Саратовская область",,,859.845,
71,Краснодарский ветропарк, Ветряная электростанция ,1000.0,,, указать местонахождение электростанции,,,," Северский район, Краснодарский край",,,859.845,
72,Чиркейская ГЭС, Гидроэлектростанция ,1000.0, 2 470 млн. кВт*ч, Кизилюрт, Широта: 42.977200 Долгота: 46.870800,,,,,,,859.845,
73,Канкунская ГЭС, Гидроэлектростанция ,1000.0, 4 865 млн. кВт*ч,, указать местонахождение электростанции,,,,,,,859.845,
74,Колымская ГЭС, Гидроэлектростанция ,900.0, 1 558 млн. кВт*ч, Магадан, Широта: 62.058333 Долгота: 150.416667,,,,,,,773.8605,
75,Калининградская ТЭЦ-2, Теплоэлектроцентраль ,900.0, 6 134.40 млн. кВт*ч, Калининград, Широта: 54.661944 Долгота: 20.590833,680.0, 302.76 тыс. Гкал, 82.91 %,, 249.20 г/кВт•ч,,773.8605,0.7555555555555555
76,Нижегородская ТЭЦ, Теплоэлектроцентраль ,900.0,, Кстово, Широта: 56.155183 Долгота: 44.142637,840.0,,,,,,773.8605,0.9333333333333333
77,Северо-Западная ТЭЦ, Теплоэлектроцентраль ,900.0, 4 546.85 млн. кВт*ч, Санкт-Петербург, Широта: 60.015978 Долгота: 30.097817,700.0, 960.67 тыс. Гкал, 62.76 %,, 236.30 г/кВт•ч,,773.8605,0.7777777777777778
78,Нижнекамская ТЭЦ-1, Теплоэлектроцентраль ,880.0, 2 957.75 млн. кВт*ч, Нижнекамск, Широта: 55.606611 Долгота: 51.940389,3746.0,,,,,,756.6636,4.256818181818182
79,Тобольская ТЭЦ, Теплоэлектроцентраль ,878.3, 2 653.41 млн. кВт*ч, Тобольск, Широта: 58.244944 Долгота: 68.445250,2223.0,,,,,,755.2018635,2.5310258453831267
80,Няганская ГРЭС, Тепловая электростанция ,845.14,, Нягань, Широта: 62.206780 Долгота: 65.519514,59.7,,," 625023, Тюменская обл., ХМАО-Югра. г. Нягань, ул. Площадка строительства НГРЭС, а/я 118",,,726.6894033,0.070639184040514
81,Южноуральская ГРЭС-2, Тепловая электростанция ,844.5, 5 980.12 млн. кВт*ч, Южноуральск, Широта: 54.467519 Долгота: 61.203032,,,,,,,726.1391024999999,
82,Загорская ГАЭС-2, Гидроаккумулирующая электростанция ,840.0,, Сергиев Посад, Широта: 56.473799 Долгота: 38.186245,,,,,,,722.2698,
83,Серовская ГРЭС, Тепловая электростанция ,808.0, 1 625.70 млн. кВт*ч, Серов, Широта: 59.633448 Долгота: 60.705085,110.0, 85.50 тыс. Гкал, 48 %," 624983, Российская Федерация, Свердловская область, г.Серов, ул.Пристанционная,1", 472.90 г/кВт•ч, 198 кг/Гкал,694.75476,0.13613861386138615
84,ТЭЦ-16, Теплоэлектроцентраль ,780.0, 2 008 млн. кВт*ч, Москва, Широта: 55.783333 Долгота: 37.502222,1679.0, 3 440 тыс. Гкал,," 123298, г. Москва, ул. 3-я Хорошевская, д.14",,,670.6791,2.1525641025641025
85,Казанская ТЭЦ-3, Теплоэлектроцентраль ,772.64, 1 611.62 млн. кВт*ч, Казань, Широта: 55.867389 Долгота: 48.952056,1897.0,,,,,,664.3506408,2.455218471733278
86,Тюменская ТЭЦ-2, Теплоэлектроцентраль ,755.0, 5 635.79 млн. кВт*ч, Тюмень, Широта: 57.086667 Долгота: 65.626944,1410.0,,,,,,649.1829749999999,1.8675496688741722
87,Южноуральская ГРЭС, Тепловая электростанция ,747.0, 2 113.86 млн. кВт*ч, Южноуральск, Широта: 54.455653 Долгота: 61.232464,395.0, 322.36 тыс. Гкал, 44.12 %," 457040, г. Южноуральск Челябинской области, ул. Спортивная, д.1.", 328.60 г/кВт•ч,,642.304215,0.5287817938420348
88,Нижнекамская ТЭЦ-2, Теплоэлектроцентраль ,724.0, 1 123.32 млн. кВт*ч, Нижнекамск, Широта: 55.606611 Долгота: 51.940389,1580.0,,,,,,622.52778,2.18232044198895
89,Хабаровская ТЭЦ-3, Теплоэлектроцентраль ,720.0, 2 526.92 млн. кВт*ч, Хабаровск, Широта: 48.571306 Долгота: 135.150944,1640.0, 2 998.49 тыс. Гкал, 45.91 %,, 299.10 г/кВт•ч,,619.0884,2.2777777777777777
90,Омская ТЭЦ-5, Теплоэлектроцентраль ,715.0, 3 751.70 млн. кВт*ч, Омск, Широта: 55.000789 Долгота: 73.484019,1735.0, 3 395.40 тыс. Гкал, 59.80 %,, 338.62 г/кВт•ч, 142.32 кг/Гкал,614.789175,2.4265734265734267
91,Северская ТЭЦ (ТЭЦ СХК), Тепловая электростанция ,699.0, 2 103.08 млн. кВт*ч, Северск, Широта: 56.619457 Долгота: 84.812350,,,,,,,601.031655,
92,"Вилюйская ГЭС (ГЭС-1, ГЭС-2)", Гидроэлектростанция ,680.0, 2 056.70 млн. кВт*ч, Чернышевский, Широта: 63.031458 Долгота: 112.473993,,, 56.09 %,, 0 г/кВт•ч,,584.6946,
93,Угольная ТЭЦ в г. Артем, Теплоэлектроцентраль ,670.0,, Артём, указать местонахождение электростанции,394.0,,,,,,576.09615,0.5880597014925373
94,Иркутская ГЭС, Гидроэлектростанция ,662.4, 4 100 млн. кВт*ч, Иркутск, Широта: 52.236667 Долгота: 104.321667,,,,,,,569.561328,
95,Тюменская ТЭЦ-1, Теплоэлектроцентраль ,662.0, 3 315.29 млн. кВт*ч, Тюмень, Широта: 57.147139 Долгота: 65.606861,1631.0,,,,,,569.21739,2.4637462235649545
96,"Славинская ТЭС ""УГМК-Холдинг""", Тепловая электростанция ,660.0,,, указать местонахождение электростанции,,,,,,,567.4977,
97,Харанорская ГРЭС, Тепловая электростанция ,655.0, 3 488.57 млн. кВт*ч, Чита, Широта: 50.853889 Долгота: 115.700000,329.3, 117.15 тыс. Гкал, 62.93 %," 674520, Забайкальский край, Оловяннинский р-он, п. Ясногорск", 344.10 г/кВт•ч,,563.198475,0.5027480916030534
98,Ново-Иркутская ТЭЦ, Теплоэлектроцентраль ,655.0, 2 673.48 млн. кВт*ч, Иркутск, Широта: 52.250833 Долгота: 104.203889,1850.4,,,,,,563.198475,2.8250381679389314
99,Правобережная ТЭЦ-5, Теплоэлектроцентраль ,643.0, 1 985.60 млн. кВт*ч, Санкт-Петербург, Широта: 59.874595 Долгота: 30.503540,1283.0, 1 937.64 тыс. Гкал, 35.30 %," Санкт-Петербург, Октябрьская набережная, 108",,,552.880335,1.9953343701399688
100,"ТЭС АО ""ВНХК""", Тепловая электростанция ,632.0,, Находка, указать местонахождение электростанции,,,,,,,543.4220399999999,
101,Смоленская ГРЭС, Тепловая электростанция ,630.0, 1 950 млн. кВт*ч, Велиж, Широта: 55.605556 Долгота: 32.413889,66.0, 59 тыс. Гкал, 35.30 %," Российская Федерация, 216239, Смоленская область, Духовщинский район, п. Озерный",,,541.70235,0.10476190476190476
102,Тольяттинская ТЭЦ, Теплоэлектроцентраль ,620.0, 2 037.42 млн. кВт*ч, Тольятти, Широта: 53.547222 Долгота: 49.453889,2173.0,,,,,,533.1039,3.5048387096774194
103,Нерюнгринская ГРЭС, Теплоэлектроцентраль ,618.0, 2 062.17 млн. кВт*ч, Нерюнгри, Широта: 56.668889 Долгота: 124.853333,1385.0, 1 858.34 тыс. Гкал, 60.69 %,, 342.60 г/кВт•ч,,531.3842099999999,2.2411003236245954
104,ТЭЦ-8, Теплоэлектроцентраль ,605.0, 2 172 млн. кВт*ч, Москва, Широта: 55.724250 Долгота: 37.696611,2192.0, 2 545 тыс. Гкал,," 109316, г. Москва, Остаповский пр-д, д. 1",,,520.206225,3.6231404958677684
105,Белоярская АЭС, Атомная электростанция ,600.0,, Заречный (Свердловская область), Широта: 56.840833 Долгота: 61.321944,0.0,,,,,,515.9069999999999,0.0
106,Курейская ГЭС, Гидроэлектростанция ,600.0, 2 620 млн. кВт*ч, п. Светлогорск (Красноярский Край), Широта: 66.944149 Долгота: 88.338404,,,,,,,515.9069999999999,
107,Западно-Сибирская ТЭЦ, Теплоэлектроцентраль ,600.0, 2 627.26 млн. кВт*ч, Новокузнецк, Широта: 53.878556 Долгота: 87.234361,1307.5,,,,,,515.9069999999999,2.1791666666666667
108,Владимирская ТЭЦ-2, Теплоэлектроцентраль ,596.0, 1 868.30 млн. кВт*ч, Владимир, Широта: 56.144778 Долгота: 40.454611,1176.1, 2 082.40 тыс. Гкал,,,,,512.46762,1.9733221476510066
109,Южно-Сахалинская ТЭЦ-1, Теплоэлектроцентраль ,592.8, 1 721.20 млн. кВт*ч, Южно-Сахалинск, Широта: 46.998056 Долгота: 142.742222,739.0, 1 591.16 тыс. Гкал, 75.25 %," 693012, г. Южно-Сахалинск, пер. Энергетиков, 1", 346.65 г/кВт•ч,,509.71611599999994,1.2466261808367072
110,ГРЭС-3 им.Классона, Теплоэлектроцентраль ,589.0, 135 млн. кВт*ч, Электрогорск, Широта: 55.883333 Долгота: 38.783333,408.0, 468 тыс. Гкал,," 142530, Московская обл., г. Электрогорск, ГРЭС №3",,,506.44870499999996,0.6926994906621392
111,Автозаводская ТЭЦ, Теплоэлектроцентраль ,580.0,, Нижний Новгород, Широта: 56.242864 Долгота: 43.892311,2074.0,,," 603004, г. Нижний Новгород, пр. Ленина, 88",,,498.7101,3.575862068965517
112,Дзержинская ТЭЦ, Теплоэлектроцентраль ,580.0, 2 608.52 млн. кВт*ч, Дзержинск, Широта: 56.233611 Долгота: 43.520833,1474.0,,,,,,498.7101,2.5413793103448277
113,Челябинская ТЭЦ-3, Теплоэлектроцентраль ,576.3, 2 485.54 млн. кВт*ч, Челябинск, Широта: 55.230000 Долгота: 61.490833,1140.0,,,,,,495.52867349999997,1.9781363872982822
114,Пермская ТЭЦ-9, Теплоэлектроцентраль ,575.0, 2 359.59 млн. кВт*ч, Пермь, Широта: 57.925000 Долгота: 56.147222,1633.8,,,,,,494.410875,2.841391304347826
115,Усть-Среднеканская ГЭС, Гидроэлектростанция ,570.0, 373 млн. кВт*ч, Усть-среднекан, Широта: 62.417326 Долгота: 152.138844,,,,,,,490.11165,
116,Ново-Кемеровская ТЭЦ, Теплоэлектроцентраль ,565.0, 1 993.40 млн. кВт*ч, Кемерово, Широта: 55.351111 Долгота: 85.994167,1449.0,,,,,,485.81242499999996,2.5646017699115045
117,Ново-Свердловская ТЭЦ, Теплоэлектроцентраль ,557.0, 2 889.61 млн. кВт*ч, Екатеринбург, Широта: 56.839724 Долгота: 60.841041,890.0,,,,,,478.93366499999996,1.5978456014362656
118,Южно-Кузбасская ГРЭС, Теплоэлектроцентраль ,554.0, 1 758.16 млн. кВт*ч, Калтан, Широта: 53.511944 Долгота: 87.266944,506.0,,,,,,476.35413,0.9133574007220217
119,ТЭЦ Монди СЛПК, Теплоэлектроцентраль ,553.0,, Сыктывкар, Широта: 61.818272 Долгота: 50.726259,1220.0,,,,,,475.494285,2.206148282097649
120,Новогорьковская ТЭЦ, Теплоэлектроцентраль ,548.3, 903.08 млн. кВт*ч, Кстово, Широта: 56.106869 Долгота: 44.135408,626.0,,,,,,471.45301349999994,1.1417107422943644
121,Камская ГЭС, Гидроэлектростанция ,543.0, 1 998 млн. кВт*ч, Пермь, Широта: 58.114556 Долгота: 56.328861,,,," 614030, г.Пермь",,,466.895835,
122,Волжская ТЭЦ-1, Теплоэлектроцентраль ,541.0, 1 146.97 млн. кВт*ч, Волжский, Широта: 48.824167 Долгота: 44.817778,1947.0,,," 404130 г. Волжский Волгоградской обл. Автодорога № 7, объект 19",,,465.17614499999996,3.598890942698706
123,Бийская ТЭЦ-1, Теплоэлектроцентраль ,535.0, 2 067.69 млн. кВт*ч, Бийск, Широта: 52.491778 Долгота: 85.084806,1840.0,,,,,,460.017075,3.439252336448598
124,Ново-Салаватская ТЭЦ, Теплоэлектроцентраль ,530.0, 2 138.11 млн. кВт*ч, Салават, Широта: 53.423599 Долгота: 55.881271,1792.0,,,,,,455.71785,3.3811320754716983
125,Уренгойская ГРЭС, Тепловая электростанция ,529.7, 2 922.49 млн. кВт*ч, Новый Уренгой, Широта: 66.034992 Долгота: 78.083847,410.0, 98.55 тыс. Гкал, 78.51 %," 626671, Тюменская обл, п. Лимбяяха", 254 г/кВт•ч,,455.4598965,0.7740230319048518
126,Усть-Илимская ТЭЦ, Теплоэлектроцентраль ,525.0, 1 119.90 млн. кВт*ч, Усть-Илимск, Широта: 58.049227 Долгота: 102.808793,1339.8,,,,,,451.41862499999996,2.552
127,Первомайская ТЭЦ-14, Теплоэлектроцентраль ,524.0, 1 774.25 млн. кВт*ч, Санкт-Петербург, Широта: 59.873056 Долгота: 30.246667,1419.0, 1 433.25 тыс. Гкал, 38.70 %," Санкт-Петербург, ул. Корабельная, 4",,,450.55877999999996,2.7080152671755724
